"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","AC_OB","MSA-1000_OB","MSA-1001_OB","MSA-1002_OB","MSA-1003_OB","Zymo-Ext_OB","Zymo.Seq.200_OB","Zymo.Seq.2000_OB","Qiagen DSP_OB","Zymo MagBead_OB","MagAttract PS_OB","MagAttract MB_OB","Qiagen QIAmp_OB"
"Ambiguous_taxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0488718011601e-05,0.337510460251046,0.258452959858103,0.19854285673787,0.0778286397631814,3.96357669236386e-05,4.50497004194922e-05,7.82456286775445e-05,2.4817960261482e-05,2.61574190848266e-05,2.2645787737379e-05,4.55841097170127e-05,4.3514004516132e-05
"Intestinimonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.93392388441259e-06,0,0,0,0,9.81083339694024e-07,0,0,0,7.47354830995047e-06,0,5.62766786629787e-07,1.24325727188949e-05
"Butyricicoccus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052463535514554,0,0,7.08727267572893e-06,9.80209568805811e-06,4.55222669618027e-05,2.64998237761719e-06,3.39064390936026e-05,2.72997562876302e-05,0.000183101933593787,1.02271299459131e-05,0.000698393582207565,0.000111893154470054
"Hungatella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66974204393588e-05,0,0,4.72484845048595e-06,0,2.94325001908207e-06,0,2.60818762258482e-06,8.27265342049401e-07,1.27050321269158e-05,7.30509281850935e-07,1.5757470025634e-05,2.87503244124444e-05
"Porphyromonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55217560693947e-06,0,5.42421423476542e-06,0.0524812541637727,0.175832442976308,3.92433335877609e-06,0,0,2.4817960261482e-06,4.8578064014678e-06,2.19152784555281e-06,2.81383393314893e-06,7.77035794930929e-07
"Marvinbryantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000190296729410779,0,0,0,0,9.22218339312382e-06,0,0,1.07544494466422e-05,3.10152254862944e-05,7.30509281850935e-07,0.000280257859741634,5.05073266705104e-05
"Eisenbergiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76748564625607e-05,6.97350069735007e-06,0,2.36242422524298e-06,4.90104784402905e-06,3.53190002289848e-06,0,0,8.27265342049401e-07,8.59458055644304e-06,7.30509281850935e-07,2.3636205038451e-05,0.000131319049343327
"Erysipelatoclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.73644213411728e-05,0,0,0,2.45052392201453e-06,1.37351667557163e-06,2.64998237761719e-06,0,8.27265342049401e-07,7.47354830995047e-06,1.46101856370187e-06,0.000113116124112587,0
"Ruminococcaceae NK4A214 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000887844447169375,1.74337517433752e-05,2.16968569390617e-05,1.88993938019438e-05,4.41094305962615e-05,0.000109488900709853,2.64998237761719e-05,4.43391895839419e-05,3.63996750501736e-05,0.000386756125039937,6.28237982391804e-05,0.00110639950251416,0.000223009273145177
"Family XIII AD3011 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000112067078821029,3.48675034867503e-06,0,2.36242422524298e-06,4.90104784402905e-06,4.1205500267149e-06,2.64998237761719e-06,0,1.6545306840988e-06,1.27050321269158e-05,4.38305569110561e-06,0.0001587002338296,4.50680761059939e-05
"Ruminococcaceae UCG-002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00145811376515893,4.88145048814505e-05,1.62726427042962e-05,6.85103025320463e-05,6.37136219723777e-05,0.000156580901015166,3.97497356642578e-05,8.34620039227142e-05,5.54267779173099e-05,0.00084040050745393,8.18170395673047e-05,0.00129323807567525,0.000597540526301885
"Lachnospiraceae NK4A136 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000624905899353829,6.97350069735007e-06,1.62726427042962e-05,3.07115149281587e-05,4.41094305962615e-05,5.29785003434773e-05,1.85498766433203e-05,2.8690063848433e-05,3.47451443660748e-05,0.000189828127072742,4.01780105018014e-05,0.000351729241643617,0.000818218692062269
"[Eubacterium] coprostanoligenes group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118493085833759,1.04602510460251e-05,0,1.18121211262149e-05,2.45052392201453e-05,6.39666337480503e-05,1.05999295104688e-05,1.30409381129241e-05,1.81998375250868e-05,0.000215238191326574,1.97237506099753e-05,0.00188808256914293,0.000126656834573741
"Ruminococcus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00406204356336058,6.97350069735007e-05,4.6105820995506e-05,8.74096963339901e-05,0.000122526196100726,0.000432657752805064,8.74494184613672e-05,7.30292534323749e-05,0.000378060261316576,0.00142333727563007,0.000122725559350957,0.00539468241663313,0.00098683545956228
"Roseburia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00226183029443219,2.78940027894003e-05,1.8984749821679e-05,4.01612118291306e-05,6.61641458943922e-05,0.00028235578516394,2.38498413985547e-05,7.30292534323749e-05,0.000142289638832497,0.00142707404978504,6.7206853930286e-05,0.00224375117829296,0.000508958445679759
"Anaerofilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20870242775787e-07,0,0,0,0,5.88650003816414e-07,0,0,0,0,7.30509281850935e-07,5.62766786629787e-07,2.33110738479279e-06
"[Clostridium] innocuum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76087803469733e-06,0,0,0,2.45052392201453e-06,7.84866671755219e-07,0,0,1.6545306840988e-06,1.86838707748762e-06,7.30509281850935e-07,9.00426858607659e-06,3.88517897465465e-06
"[Eubacterium] xylanophilum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000178810629919427,0,0,2.36242422524298e-06,2.45052392201453e-06,2.49195168282282e-05,0,2.60818762258482e-06,7.44538807844461e-06,0.000116587353635227,8.03560210036029e-06,0.000164327901695898,6.13858277995434e-05
"[Eubacterium] hallii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00170677229739064,1.74337517433752e-05,1.08484284695308e-05,7.08727267572893e-06,1.22526196100726e-05,9.850076730528e-05,1.05999295104688e-05,1.56491257355089e-05,5.54267779173099e-05,0.000343409544842224,2.19152784555281e-05,0.00270240610939624,0.000141420514677429
"Holdemania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31504818729172e-05,0,0,0,0,3.13946668702088e-06,0,2.60818762258482e-06,8.27265342049401e-07,1.53207740353985e-05,7.30509281850935e-07,5.12117775833106e-05,1.63177516935495e-05
"Tyzzerella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31504818729172e-05,0,0,0,2.45052392201453e-06,4.90541669847012e-06,0,5.21637524516964e-06,0,1.98049030213687e-05,1.46101856370187e-06,5.29000779431999e-05,1.16555369239639e-05
"Ruminiclostridium 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000538915370729383,3.48675034867503e-06,5.42421423476542e-06,9.4496969009719e-06,1.71536674541017e-05,3.35530502175356e-05,5.29996475523438e-06,2.08655009806785e-05,1.81998375250868e-05,8.96825797194056e-05,8.76611138221122e-06,0.000798566070227667,0.000166285660115219
"Dialister",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000275666387792449,1.04602510460251e-05,5.42421423476542e-06,2.36242422524298e-06,9.80209568805811e-06,2.96287168587595e-05,5.29996475523438e-06,1.04327504903393e-05,1.48907761568892e-05,0.000127423998684655,1.1688148509615e-05,0.000311772799792902,8.54739374424022e-05
"Intestinibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00032130035063647,6.97350069735007e-06,2.71210711738271e-06,4.72484845048595e-06,1.22526196100726e-05,2.23687001450237e-05,0,0,4.13632671024701e-06,6.83829670360468e-05,1.68017134825715e-05,0.000496360305807472,4.3514004516132e-05
"[Ruminococcus] gauvreauii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000911747951516243,3.48675034867503e-06,5.42421423476542e-06,2.36242422524298e-06,4.90104784402905e-06,5.41558003511101e-05,2.64998237761719e-06,1.04327504903393e-05,3.47451443660748e-05,0.000204401546277145,1.0957639227764e-05,0.00142942763803966,5.36154698502341e-05
"Lachnospiraceae ND3007 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000315712518451488,3.48675034867503e-06,8.13632135214812e-06,0,7.35157176604358e-06,3.80660335801281e-05,7.94994713285157e-06,5.21637524516964e-06,2.72997562876302e-05,0.00012518193419167,9.49662066406216e-06,0.00044852512894394,2.56421812327207e-05
"Succiniclasticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.54357344972581e-05,3.48675034867503e-06,2.71210711738271e-06,2.36242422524298e-06,7.35157176604358e-06,9.22218339312382e-06,0,7.82456286775446e-06,3.3090613681976e-06,4.59623221061954e-05,1.68017134825715e-05,1.51947032390042e-05,8.7805044827195e-05
"[Ruminococcus] torques group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000342099503769458,6.97350069735007e-06,2.71210711738271e-06,2.36242422524298e-06,7.35157176604358e-06,2.49195168282282e-05,2.64998237761719e-06,2.60818762258482e-06,2.72997562876302e-05,9.19246442123908e-05,1.31491670733168e-05,0.000480040068995208,6.13858277995434e-05
"Ruminiclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26617638613162e-05,0,0,2.36242422524298e-06,0,3.53190002289848e-06,2.64998237761719e-06,2.60818762258482e-06,0,1.75628385283836e-05,7.30509281850935e-07,1.91340707454127e-05,6.99332215437836e-06
"Gordonibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83156721618857e-05,0,0,2.36242422524298e-06,0,5.88650003816414e-07,0,0,0,2.24206449298514e-06,0,3.03894064780085e-05,1.55407158986186e-06
"Ruminococcaceae UCG-005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00078695303271831,3.13807531380753e-05,2.71210711738271e-05,3.30739391534017e-05,2.94062870641743e-05,5.25860670075997e-05,1.85498766433203e-05,2.8690063848433e-05,3.7226940392223e-05,0.000215611868742071,3.21424084014411e-05,0.00039449951742748,0.00111582340152081
"Flavonifractor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07991531329889e-05,0,0,0,2.45052392201453e-06,1.17730000763283e-06,0,0,0,1.53207740353985e-05,0,7.31596822618723e-06,1.47636801036877e-05
"[Eubacterium] rectale group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00487848793261074,4.18410041841004e-05,1.08484284695308e-05,6.61478783068033e-05,5.88125741283486e-05,0.000373400319087545,4.2399718041875e-05,7.82456286775445e-05,0.000311051768610575,0.00130824463165683,9.13136602313669e-05,0.00720341486886127,0.000634061208663638
"Lachnospiraceae UCG-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.46827120233075e-05,3.48675034867503e-06,0,0,2.45052392201453e-06,1.31465167518999e-05,2.64998237761719e-06,0,5.79085739434581e-06,8.81878700574155e-05,2.92203712740374e-06,5.17745443699404e-05,2.56421812327207e-05
"Phascolarctobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000197747172324088,3.48675034867503e-06,2.71210711738271e-06,7.08727267572893e-06,7.35157176604358e-06,2.57043834999834e-05,5.29996475523438e-06,1.30409381129241e-05,1.32362454727904e-05,0.000166286449896398,8.03560210036029e-06,0.000132250194858,4.73991834907867e-05
"Lactonifactor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20870242775787e-06,0,0,0,0,5.88650003816414e-07,0,0,0,4.11045157047276e-06,0,1.12553357325957e-06,7.77035794930929e-06
"[Eubacterium] ventriosum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94053149597133e-05,0,0,0,0,4.90541669847012e-06,2.64998237761719e-06,2.60818762258482e-06,2.4817960261482e-06,2.98941932398019e-05,5.84407425480748e-06,0.000118181025192255,9.32442953917115e-06
"Oxalobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72522145665472e-05,0,0,0,4.90104784402905e-06,4.70920003053131e-06,2.64998237761719e-06,2.60818762258482e-06,4.96359205229641e-06,2.69047739158217e-05,3.65254640925468e-06,2.98266396913787e-05,6.21628635944743e-06
"Dorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000929753188556741,6.97350069735007e-06,1.8984749821679e-05,4.72484845048595e-06,7.35157176604358e-06,6.71061004350712e-05,2.64998237761719e-06,2.60818762258482e-05,4.05360017604206e-05,0.000231679997608465,1.38796763551678e-05,0.00141423293480065,0.000105676868110606
"Defluviitaleaceae UCG-011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89826730636997e-06,0,0,0,0,7.84866671755219e-07,0,0,0,1.49470966199009e-06,0,1.68830035988936e-06,1.24325727188949e-05
"Coprococcus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00197591954763394,2.09205020920502e-05,1.08484284695308e-05,3.77987876038876e-05,5.88125741283486e-05,0.000161093884377759,2.11998590209375e-05,5.99883153194508e-05,0.000116644413228966,0.00047830709183683,4.74831033203108e-05,0.00287911488039799,0.000453788904239663
"Coprococcus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00020488718011601,0,2.71210711738271e-06,0,0,1.31465167518999e-05,0,2.60818762258482e-06,1.90271028671362e-05,4.93254188456731e-05,2.19152784555281e-06,0.000298266396913787,3.03043960023062e-05
"Parasutterella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92469775260494e-05,0,0,0,0,3.92433335877609e-07,0,0,8.27265342049401e-07,8.59458055644304e-06,1.46101856370187e-06,5.06490107966808e-06,2.25340380529969e-05
"Blautia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476300606745445,2.44072524407252e-05,2.16968569390617e-05,5.19733329553455e-05,5.63620502063341e-05,0.000302762318629576,4.50497004194922e-05,4.43391895839419e-05,0.000190271028671362,0.00100593960251933,8.32780581310066e-05,0.0074893003964692,0.000421153400852564
"[Eubacterium] eligens group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00261852024891e-05,0,0,0,2.45052392201453e-06,1.7070850110676e-05,0,2.60818762258482e-06,1.32362454727904e-05,7.66038701769923e-05,1.46101856370187e-05,5.62766786629787e-05,2.79732886175135e-05
"Christensenellaceae R-7 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000207991531329889,6.97350069735007e-06,2.71210711738271e-06,0,4.90104784402905e-06,1.53049000992268e-05,2.64998237761719e-06,5.21637524516964e-06,7.44538807844461e-06,5.97883864796037e-05,1.1688148509615e-05,0.000217227979639098,0.000137535335702774
"Erwinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31504818729172e-05,2.09205020920502e-05,1.62726427042962e-05,1.88993938019438e-05,7.10651937384213e-05,0.00166254382744549,0.000588296087831016,0.000623356841797772,0.00135754242630307,0.00118754682645113,0.0015647508817247,0.000544195482671004,0.000531492483732756
"Anaerotruncus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48148642544823e-05,3.48675034867503e-06,0,7.08727267572893e-06,4.90104784402905e-06,3.13946668702088e-06,5.29996475523438e-06,0,0,1.60681288663935e-05,4.38305569110561e-06,9.56703537270637e-06,0.000148413836831808
"Ruminiclostridium 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07991531329889e-05,0,0,0,0,9.81083339694024e-07,0,2.60818762258482e-06,1.6545306840988e-06,1.30787095424133e-05,2.19152784555281e-06,7.87873501281701e-06,1.39866443087567e-05
"Odoribacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07991531329889e-05,0,0,0,0,4.51298336259251e-06,0,0,8.27265342049401e-07,2.57837416693291e-05,1.46101856370187e-06,7.87873501281701e-06,3.10814317972372e-06
"Coprococcus 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000149319293387577,0,2.71210711738271e-06,0,2.45052392201453e-06,1.21654334122059e-05,0,0,6.61812273639521e-06,4.11045157047276e-05,3.65254640925468e-06,0.000221167347145506,2.09799664631351e-05
"Raoultella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00178344977237345,0.000104602510460251,0.000105772177577926,0.000113396362811663,0.000316117585939874,0.19290904356736,0.108007981746921,0.0920299002629053,0.1402239572734,0.138597327085447,0.151446262276208,0.066667604611311,0.0953454001812047
"Enterobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00475524518941975,0.00331938633193863,0.00331148279032429,0.00160172362471474,0.00528332957586332,0.0115216465246987,0.00441752062348785,0.00401921712640321,0.0113054081644471,0.0097772695764927,0.0128628074348313,0.00552749537827776,0.00526519454645198
"Kluyvera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96696194220629e-06,0,0,0,2.45052392201453e-06,0.00167686764420503,0.00193978710041578,0.00206046822184201,0.000957973266093206,0.00104667044080856,0.000795524607935668,0.00146825854631711,0.000703217394412491
"Oryza sativa Indica Group (long-grained rice)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41478633526683e-06,0,0,0,0,9.81083339694024e-07,0,0,0,5.97883864796038e-06,0,0,0
"uncultured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000976628891886312,1.74337517433752e-05,2.16968569390617e-05,9.4496969009719e-06,2.20547152981307e-05,8.39807338778084e-05,2.11998590209375e-05,2.08655009806785e-05,3.88814710763218e-05,0.000375172125159514,3.72559733743977e-05,0.00114466764400499,0.000340341678179747
