"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","PC04924_OB","PC04925_OB","PC07578_OB","PC04924_MS1000","PC04924_MS1001","PC04924_MS1002","PC04924_MS1003","PC04924_Seq.200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq.200","PC04925_Seq2000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq.200","PC07578_Seq2000"
"Ruminococcaceae UCG-014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000196961348710251,8.17918682057248e-05,0.000137171942861651,1.43547194728947e-05,8.47357093226227e-06,3.51874788875127e-05,8.04977983852142e-06,2.41221545908481e-05,8.26952020243785e-06,2.71236090674225e-05,8.999928000576e-06,3.14737587536392e-05,4.41940117114131e-05,2.66368334132438e-05,5.86918426723234e-05,NA,0,6.48895579723311e-06,0,0,6.98250881541738e-06
"Erysipelotrichaceae UCG-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000243826750011083,4.62708282992386e-05,0.000173769200344502,7.17735973644735e-06,1.69471418645245e-05,0,0,0,0,6.78090226685563e-06,1.7999856001152e-05,1.57368793768196e-05,7.36566861856885e-06,8.87894447108128e-06,4.19227447659453e-05,NA,0,0,0,0,0
"Lachnospiraceae FCS020 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42540906951068e-05,2.80429262419628e-06,3.3073077132651e-05,0,0,7.03749577750253e-06,0,0,0,0,0,0,0,0,0,NA,0,6.48895579723311e-06,0,0,0
"Ruminococcaceae UCG-013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000183239496978026,3.31841293863226e-05,8.48514192009816e-05,7.17735973644735e-06,0,0,1.60995596770428e-05,0,0,0,0,7.86843968840979e-06,2.20970058557066e-05,0,3.35381958127563e-05,NA,0,0,0,0,0
"Lachnospiraceae UCG-001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000180706232042846,5.60858524839256e-05,0.000108436318467708,7.17735973644735e-06,0,1.40749915550051e-05,8.04977983852142e-06,0,0,0,0,7.86843968840979e-06,4.41940117114131e-05,0,7.54609405787016e-05,NA,0,0,0,0,6.98250881541738e-06
"Ruminococcus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00304034013303863,0.000510848639707755,0.00298660730139685,4.30641584186841e-05,6.77885674580982e-05,9.14874451075329e-05,4.82986790311285e-05,5.62850273786455e-05,8.26952020243785e-05,0.000101713534002834,0.000107999136006912,0.000204579431898654,0.000235701395794203,0.000150942056008382,0.000251536468595672,NA,7.16378563087878e-06,3.89337347833987e-05,0.000114799708273682,6.41171777043201e-05,6.98250881541738e-05
"Fusicatenibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000413344395256884,8.36613966218556e-05,0.00027488606731564,2.15320792093421e-05,0,0,1.60995596770428e-05,8.04071819694935e-06,2.48085606073136e-05,1.35618045337113e-05,1.7999856001152e-05,3.93421984420489e-05,2.94626744742754e-05,5.32736668264877e-05,4.19227447659453e-05,NA,1.43275712617576e-05,6.48895579723311e-06,0,0,0
"Ruminococcaceae UCG-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000112519184204249,1.12171704967851e-05,7.07546978001795e-05,0,0,0,0,0,0,0,0,0,7.36566861856885e-06,8.87894447108128e-06,8.38454895318906e-06,NA,7.16378563087878e-06,0,6.75292401609897e-06,0,0
"Clostridium sensu stricto 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0131987325231108,0.0310874532676319,0.0108623371117065,0.207002232158878,0.0232768993509245,0.163305089516946,0.0611219783138931,8.04071819694935e-06,8.26952020243785e-06,0.199873875217836,0.0241378068975448,0.17204343378708,0.0916436489522336,1.77578889421626e-05,3.35381958127563e-05,NA,0.0248869912816729,0.16672074129831,0.0730666378541909,7.12413085603556e-06,0
"Gossypium arboreum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56218004336105e-05,1.86952841613085e-05,2.16872636935416e-06,0,0,7.03749577750253e-06,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Sellimonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74437034644509e-06,0,2.16872636935416e-06,0,0,0,0,8.04071819694935e-06,0,0,0,0,0,0,0,NA,0,0,0,0,6.98250881541738e-06
"Lachnospiraceae UCG-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68884329012006e-06,9.34764208065426e-07,1.62654477701562e-06,0,0,0,0,0,0,0,0,0,0,8.87894447108128e-06,0,NA,0,0,0,0,0
"Ambiguous_taxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0248652619712601,0.0524271853735575,0.0212136680726339,0.348008641541123,0.260418255461216,0.199294842923094,0.0812947265892278,6.43257455755948e-05,0.00011577328283413,0.327592169414062,0.258999928000576,0.194468486899048,0.0756675137185578,4.43947223554064e-05,8.38454895318906e-05,NA,0.256356068800997,0.201209541360604,0.0769022986953351,2.84965234241423e-05,4.18950528925043e-05
"Intestinimonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79989740277013e-06,9.34764208065426e-07,4.60854353487759e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Butyricicoccus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000239182430963253,7.71180471653976e-05,0.000174853563529179,0,0,0,1.60995596770428e-05,8.04071819694935e-06,0,0,0,2.36053190652294e-05,1.47313372371377e-05,0,0.000100614587438269,NA,0,0,0,0,6.98250881541738e-06
"Hungatella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.81090021680526e-06,4.20643893629442e-06,1.57232661778177e-05,0,0,0,0,0,0,0,0,7.86843968840979e-06,0,0,0,NA,0,6.48895579723311e-06,0,0,6.98250881541738e-06
"Porphyromonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00634772861132749,0.0142186983688832,0.00908262603485523,0,0,0.0550824794505123,0.178970755149847,0,0,0,8.999928000576e-06,0.0529860728617515,0.174441129893566,0,0,NA,7.16378563087878e-06,0.0496664676720222,0.174475297803949,0,0
"Marvinbryantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9719799787628e-05,9.81502418468697e-06,5.80134303802238e-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Eisenbergiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11885867970454e-05,9.34764208065426e-06,4.55432537564374e-05,0,0,7.03749577750253e-06,8.04977983852142e-06,0,0,1.35618045337113e-05,0,0,7.36566861856885e-06,0,0,NA,0,0,0,0,0
"Erysipelatoclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38549114729458e-05,1.86952841613085e-06,2.95488967824504e-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.75292401609897e-06,7.12413085603556e-06,0
"Ruminococcaceae NK4A214 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000387800640493818,0.000167790175347744,0.00034916494546602,7.17735973644735e-06,8.47357093226227e-06,2.11124873325076e-05,3.21991193540857e-05,1.60814363938987e-05,0,2.71236090674225e-05,4.499964000288e-05,3.14737587536392e-05,8.83880234228262e-05,7.10315557686502e-05,0.000125768234297836,NA,1.43275712617576e-05,6.48895579723311e-06,1.35058480321979e-05,0,1.39650176308348e-05
"Family XIII AD3011 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55987688332415e-05,3.7390568322617e-06,4.4187799775591e-05,0,0,0,0,0,0,6.78090226685563e-06,0,7.86843968840979e-06,7.36566861856885e-06,8.87894447108128e-06,0,NA,0,0,6.75292401609897e-06,0,0
"Ruminococcaceae UCG-002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000670681891588927,0.000262201360362352,0.000509379606002059,2.87094389457894e-05,1.69471418645245e-05,7.03749577750253e-05,4.82986790311285e-05,1.60814363938987e-05,4.13476010121893e-05,6.78090226685563e-05,1.7999856001152e-05,0.000133763474702966,0.000117850697897102,7.10315557686502e-05,0.000192844625923348,NA,1.43275712617576e-05,1.29779115944662e-05,2.70116960643959e-05,3.56206542801778e-05,2.79300352616695e-05
"Lachnospiraceae NK4A136 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000173317542648571,0.000129932224921094,0.000336423678046064,7.17735973644735e-06,2.54207127967868e-05,2.81499831100101e-05,3.21991193540857e-05,2.41221545908481e-05,8.26952020243785e-06,6.78090226685563e-06,8.999928000576e-06,5.50790778188685e-05,5.89253489485508e-05,2.66368334132438e-05,5.86918426723234e-05,NA,1.43275712617576e-05,1.29779115944662e-05,4.05175440965938e-05,7.12413085603556e-06,2.09475264462521e-05
"[Eubacterium] coprostanoligenes group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000540640958249683,8.50635429339538e-05,0.000386846566133549,7.17735973644735e-06,0,7.03749577750253e-06,0,0,0,1.35618045337113e-05,0,2.36053190652294e-05,5.89253489485508e-05,3.55157778843251e-05,3.35381958127563e-05,NA,0,6.48895579723311e-06,1.35058480321979e-05,0,6.98250881541738e-06
"Ruminococcus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00162318950721664,0.00054263062278198,0.00179597652462142,4.30641584186841e-05,2.54207127967868e-05,7.74124535525279e-05,5.63484588696499e-05,4.82443091816961e-05,2.48085606073136e-05,9.49326317359788e-05,9.89992080063359e-05,0.000165237233456606,0.000265164070268479,8.87894447108128e-05,0.000159306430110592,NA,2.14913568926363e-05,3.24447789861655e-05,4.72704681126928e-05,0.000121110224552605,4.18950528925043e-05
"Roseburia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00115115780762808,0.000376709975850367,0.00069453461978567,7.17735973644735e-06,0,2.81499831100101e-05,4.82986790311285e-05,1.60814363938987e-05,3.30780808097514e-05,4.74663158679894e-05,5.3999568003456e-05,8.65528365725077e-05,0.000110485029278533,4.43947223554064e-05,0.000201229174876538,NA,7.16378563087878e-06,1.29779115944662e-05,4.05175440965938e-05,1.42482617120711e-05,0
"Anaerofilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11105411265007e-07,9.34764208065426e-07,5.4218159233854e-07,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"[Clostridium] innocuum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53326493518008e-06,0,4.87963433104686e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.75292401609897e-06,0,0
"[Eubacterium] xylanophilum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69754294411829e-05,2.66407799298646e-05,6.4248518692117e-05,0,0,7.03749577750253e-06,0,0,0,0,0,0,0,0,8.38454895318906e-06,NA,0,0,6.75292401609897e-06,0,0
"[Eubacterium] hallii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000824366630989852,7.85201934774958e-05,0.000529711415714754,7.17735973644735e-06,1.69471418645245e-05,7.03749577750253e-06,8.04977983852142e-06,1.60814363938987e-05,8.26952020243785e-06,2.71236090674225e-05,8.999928000576e-06,1.57368793768196e-05,2.20970058557066e-05,0,4.19227447659453e-05,NA,7.16378563087878e-06,0,6.75292401609897e-06,1.42482617120711e-05,0
"Holdemania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68884329012006e-05,7.94549576855612e-06,1.59943569739869e-05,0,0,0,0,0,8.26952020243785e-06,0,0,0,0,0,0,NA,0,0,0,0,0
"Tyzzerella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19549627715607e-05,1.02824062887197e-05,1.11147226429401e-05,0,0,0,8.04977983852142e-06,0,0,0,0,0,0,0,1.67690979063781e-05,NA,0,0,0,0,0
"Ruminiclostridium 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000240871274253373,4.76729746113367e-05,0.000186510467764458,0,8.47357093226227e-06,1.40749915550051e-05,0,0,1.65390404048757e-05,6.78090226685563e-06,8.999928000576e-06,1.57368793768196e-05,3.68283430928443e-05,8.87894447108128e-06,5.03072937191344e-05,NA,0,0,1.35058480321979e-05,7.12413085603556e-06,0
"Dialister",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000126452141347739,6.59008766686125e-05,8.53936007933201e-05,7.17735973644735e-06,0,7.03749577750253e-06,0,8.04071819694935e-06,0,1.35618045337113e-05,8.999928000576e-06,0,2.20970058557066e-05,8.87894447108128e-06,3.35381958127563e-05,NA,7.16378563087878e-06,0,6.75292401609897e-06,0,0
"Intestinibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014629605000665,2.24343409935702e-05,0.000113315952798755,1.43547194728947e-05,8.47357093226227e-06,0,2.41493395155642e-05,0,0,0,0,1.57368793768196e-05,7.36566861856885e-06,0,0,NA,0,0,6.75292401609897e-06,0,0
"[Ruminococcus] gauvreauii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0004621097452591,4.48686819871405e-05,0.000254554257602945,7.17735973644735e-06,0,0,0,0,1.65390404048757e-05,0,8.999928000576e-06,7.86843968840979e-06,1.47313372371377e-05,8.87894447108128e-06,8.38454895318906e-06,NA,7.16378563087878e-06,0,0,0,6.98250881541738e-06
"Lachnospiraceae ND3007 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000157062425981165,3.31841293863226e-05,0.000110605044837062,0,0,0,0,0,0,6.78090226685563e-06,2.6999784001728e-05,0,2.20970058557066e-05,2.66368334132438e-05,1.67690979063781e-05,NA,0,0,0,0,0
"Succiniclasticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87103359320409e-05,3.27167472822899e-06,4.22901642024061e-05,7.17735973644735e-06,0,0,0,0,1.65390404048757e-05,0,0,0,0,0,0,NA,7.16378563087878e-06,6.48895579723311e-06,2.02587720482969e-05,0,6.98250881541738e-06
"[Ruminococcus] torques group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000157062425981165,3.92600967387479e-05,0.000111147226429401,7.17735973644735e-06,0,7.03749577750253e-06,0,8.04071819694935e-06,0,6.78090226685563e-06,8.999928000576e-06,0,1.47313372371377e-05,0,8.38454895318906e-06,NA,0,0,6.75292401609897e-06,0,0
"Ruminiclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05552705632503e-05,5.14120314435984e-06,8.94599627358592e-06,0,0,0,0,8.04071819694935e-06,0,0,0,0,0,0,8.38454895318906e-06,NA,0,6.48895579723311e-06,0,0,0
"Gordonibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01330597407203e-05,9.34764208065426e-07,3.52418035020051e-06,0,0,0,0,0,0,0,0,7.86843968840979e-06,0,0,0,NA,0,0,0,0,0
"Ruminococcaceae UCG-005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000205194459749587,9.34764208065426e-05,0.000459227808710744,3.58867986822367e-05,3.38942837290491e-05,2.11124873325076e-05,3.21991193540857e-05,1.60814363938987e-05,4.96171212146271e-05,2.71236090674225e-05,3.5999712002304e-05,6.29475175072783e-05,3.68283430928443e-05,3.55157778843251e-05,2.51536468595672e-05,NA,1.43275712617576e-05,1.94668673916993e-05,2.02587720482969e-05,7.12413085603556e-06,1.39650176308348e-05
"Flavonifractor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49974350692531e-06,1.40214631209814e-06,7.04836070040102e-06,0,0,0,8.04977983852142e-06,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"[Eubacterium] rectale group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00240702389924361,0.000360351602209222,0.00150699373590497,7.17735973644735e-06,0,2.81499831100101e-05,3.21991193540857e-05,4.02035909847468e-05,1.65390404048757e-05,7.45899249354119e-05,2.6999784001728e-05,0.000125895035014557,8.83880234228262e-05,8.87894447108128e-05,0.000209613723829727,NA,7.16378563087878e-06,5.19116463778649e-05,5.40233921287918e-05,7.12413085603556e-06,2.09475264462521e-05
"Lachnospiraceae UCG-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77098229458916e-05,1.82279020572758e-05,2.98199875786197e-05,0,0,0,0,0,0,6.78090226685563e-06,0,0,7.36566861856885e-06,0,0,NA,0,0,0,7.12413085603556e-06,0
"Phascolarctobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111252551736659,3.55210399064862e-05,4.87963433104686e-05,0,0,7.03749577750253e-06,8.04977983852142e-06,8.04071819694935e-06,8.26952020243785e-06,6.78090226685563e-06,0,1.57368793768196e-05,1.47313372371377e-05,8.87894447108128e-06,3.35381958127563e-05,NA,7.16378563087878e-06,0,0,0,0
"Lactonifactor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89994870138506e-06,0,3.79527114636978e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"[Eubacterium] ventriosum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28543984867964e-05,5.60858524839256e-06,2.7109079616927e-05,0,0,0,0,0,0,0,0,0,0,8.87894447108128e-06,0,NA,0,0,0,0,6.98250881541738e-06
"Oxalobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08994357152357e-05,6.54334945645798e-06,9.48817786592446e-06,0,0,0,8.04977983852142e-06,0,0,0,0,0,7.36566861856885e-06,0,8.38454895318906e-06,NA,0,0,0,7.12413085603556e-06,0
"Dorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000475831596991326,6.21618198363508e-05,0.000264313526265038,0,8.47357093226227e-06,0,1.60995596770428e-05,0,0,1.35618045337113e-05,3.5999712002304e-05,1.57368793768196e-05,7.36566861856885e-06,8.87894447108128e-06,8.38454895318906e-05,NA,1.43275712617576e-05,0,0,0,0
"Defluviitaleaceae UCG-011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26663246759004e-06,9.34764208065426e-07,4.06636194253905e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Coprococcus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000806844881854857,0.000231821523600226,0.000799446757903178,1.43547194728947e-05,8.47357093226227e-06,2.81499831100101e-05,3.21991193540857e-05,1.60814363938987e-05,1.65390404048757e-05,2.71236090674225e-05,8.999928000576e-06,6.29475175072783e-05,0.00012521636651567,5.32736668264877e-05,0.000142537332204214,NA,1.43275712617576e-05,2.59558231889324e-05,2.02587720482969e-05,0,2.79300352616695e-05
"Coprococcus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94306487058183e-05,1.26193168088833e-05,6.26219739151014e-05,0,0,0,0,0,0,0,8.999928000576e-06,0,0,0,8.38454895318906e-06,NA,0,0,0,0,0
"Parasutterella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91095151542019e-06,0,9.75926866209373e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Blautia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00236775829274832,0.000267809945610745,0.00140723232291468,2.15320792093421e-05,8.47357093226227e-06,4.92624704425177e-05,2.41493395155642e-05,1.60814363938987e-05,1.65390404048757e-05,2.71236090674225e-05,5.3999568003456e-05,7.86843968840979e-05,9.57536920413951e-05,0.000115426278124057,0.000117383685344647,NA,7.16378563087878e-06,3.24447789861655e-05,4.72704681126928e-05,1.42482617120711e-05,6.98250881541738e-06
"[Eubacterium] eligens group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94767119065563e-05,1.82279020572758e-05,4.14768918138983e-05,0,0,0,0,0,0,0,0,0,7.36566861856885e-06,0,8.38454895318906e-06,NA,0,0,0,0,0
"Christensenellaceae R-7 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.50754807397978e-05,1.40214631209814e-05,8.75623271626743e-05,1.43547194728947e-05,0,0,0,8.04071819694935e-06,0,0,0,0,7.36566861856885e-06,0,1.67690979063781e-05,NA,7.16378563087878e-06,0,6.75292401609897e-06,0,0
"Erwinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000979740213680897,0.00058048857320863,0.000878063088792266,3.58867986822367e-05,8.47357093226227e-06,4.92624704425177e-05,0.000104647137900778,0.000844275410679682,0.000777334899029158,6.78090226685563e-06,8.999928000576e-06,0,6.62910175671197e-05,0.000479463001438389,0.000511457486144533,NA,2.86551425235151e-05,6.48895579723311e-06,4.72704681126928e-05,0.00044882024393024,0.00058653074049506
"Anaerotruncus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18219030308404e-05,6.07596735242527e-06,5.3133796049177e-05,7.17735973644735e-06,0,7.03749577750253e-06,8.04977983852142e-06,0,0,0,0,7.86843968840979e-06,0,8.87894447108128e-06,0,NA,0,6.48895579723311e-06,6.75292401609897e-06,7.12413085603556e-06,0
"Ruminiclostridium 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28863809566031e-06,1.86952841613085e-06,6.77726990423175e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,6.98250881541738e-06
"Odoribacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13996922083104e-05,3.27167472822899e-06,7.86163308890884e-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Coprococcus 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88203640723923e-05,1.16845526008178e-05,5.25916144568384e-05,0,0,0,0,0,0,0,8.999928000576e-06,0,7.36566861856885e-06,0,0,NA,0,0,0,0,0
"Raoultella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0956961939805403,0.092153262070026,0.112420810989804,0.000122015115519605,0.000160997847712983,0.000175937394437563,0.000491036570149806,0.104778598824447,0.0929080594743893,8.81517294691232e-05,4.499964000288e-05,6.29475175072783e-05,0.00025779840164991,0.106067870651537,0.0919281947227649,NA,0.000107456784463182,9.73343369584966e-05,0.000222846492531266,0.112425909039097,0.0913731103585518
"Enterobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00968424963637093,0.00490751209234349,0.00701528762326837,0.00455762343264407,0.00459267544528615,0.00234348609390834,0.00764729084659535,0.00599033505672727,0.00512710252551147,0.00214954601859323,0.00229498164014688,0.000912739003855535,0.00340293890177881,0.00349830412160602,0.00286751574199066,NA,0.0030374451074926,0.00148597087756638,0.00502417546797763,0.00376154109198678,0.00404287260412666
"Kluyvera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000863632237485143,0.00103618612464052,0.00102390993713133,0,0,0,8.04977983852142e-06,0.00226748253153972,0.00198468484858509,0,0,0,0,0.00192673095022464,0.00181106257388884,NA,0,0,0,0.00165992248945629,0.0023321579443494
"Oryza sativa Indica Group (long-grained rice)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32215952391508e-06,1.86952841613085e-06,2.7109079616927e-07,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
