"","X1.1","Genus","value","Type"
"385",NA,"Blautia","NA","PC04924-MSA1003_Diff"
"386",NA,"Butyricicoccus","NA","PC04924-MSA1003_Diff"
"387",NA,"Candidatus Stoquefichus","NA","PC04924-MSA1003_Diff"
"388",NA,"Carnobacterium","NA","PC04924-MSA1003_Diff"
"389",NA,"Christensenellaceae R-7 group","NA","PC04924-MSA1003_Diff"
"390",NA,"Clostridium sensu stricto 1","NA","PC04924-MSA1003_Diff"
"391",NA,"Coprococcus 1","NA","PC04924-MSA1003_Diff"
"392",NA,"Coprococcus 2","NA","PC04924-MSA1003_Diff"
"393",NA,"Coprococcus 3","NA","PC04924-MSA1003_Diff"
"394",NA,"Defluviitaleaceae UCG-011","NA","PC04924-MSA1003_Diff"
"395",NA,"Dialister","NA","PC04924-MSA1003_Diff"
"396",NA,"Dorea","NA","PC04924-MSA1003_Diff"
"397",NA,"Eisenbergiella","NA","PC04924-MSA1003_Diff"
"398",NA,"Enterobacter","NA","PC04924-MSA1003_Diff"
"399",NA,"Erwinia","NA","PC04924-MSA1003_Diff"
"400",NA,"Erysipelatoclostridium","NA","PC04924-MSA1003_Diff"
"401",NA,"Erysipelotrichaceae UCG-003","NA","PC04924-MSA1003_Diff"
"402",NA,"Faecalibacterium","NA","PC04924-MSA1003_Diff"
"403",NA,"Family XIII AD3011 group","NA","PC04924-MSA1003_Diff"
"404",NA,"Flavonifractor","NA","PC04924-MSA1003_Diff"
"405",NA,"Fusicatenibacter","NA","PC04924-MSA1003_Diff"
"406",NA,"Gordonibacter","NA","PC04924-MSA1003_Diff"
"407",NA,"Gossypium arboreum","NA","PC04924-MSA1003_Diff"
"408",NA,"Holdemania","NA","PC04924-MSA1003_Diff"
"409",NA,"Hungatella","NA","PC04924-MSA1003_Diff"
"410",NA,"Intestinibacter","NA","PC04924-MSA1003_Diff"
"411",NA,"Intestinimonas","NA","PC04924-MSA1003_Diff"
"412",NA,"Kluyvera","NA","PC04924-MSA1003_Diff"
"413",NA,"Lachnospira","NA","PC04924-MSA1003_Diff"
"414",NA,"Lachnospiraceae FCS020 group","NA","PC04924-MSA1003_Diff"
"415",NA,"Lachnospiraceae ND3007 group","NA","PC04924-MSA1003_Diff"
"416",NA,"Lachnospiraceae NK4A136 group","NA","PC04924-MSA1003_Diff"
"417",NA,"Lachnospiraceae UCG-001","NA","PC04924-MSA1003_Diff"
"418",NA,"Lachnospiraceae UCG-004","NA","PC04924-MSA1003_Diff"
"419",NA,"Lachnospiraceae UCG-008","NA","PC04924-MSA1003_Diff"
"420",NA,"Lactonifactor","NA","PC04924-MSA1003_Diff"
"421",NA,"Marvinbryantia","NA","PC04924-MSA1003_Diff"
"422",NA,"Odoribacter","NA","PC04924-MSA1003_Diff"
"423",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1003_Diff"
"424",NA,"Other","NA","PC04924-MSA1003_Diff"
"425",NA,"Oxalobacter","NA","PC04924-MSA1003_Diff"
"426",NA,"Parasutterella","NA","PC04924-MSA1003_Diff"
"427",NA,"Phascolarctobacterium","NA","PC04924-MSA1003_Diff"
"428",NA,"Porphyromonas","NA","PC04924-MSA1003_Diff"
"429",NA,"Raoultella","NA","PC04924-MSA1003_Diff"
"430",NA,"Roseburia","NA","PC04924-MSA1003_Diff"
"431",NA,"Ruminiclostridium","NA","PC04924-MSA1003_Diff"
"432",NA,"Ruminiclostridium 5","NA","PC04924-MSA1003_Diff"
"433",NA,"Ruminiclostridium 9","NA","PC04924-MSA1003_Diff"
"434",NA,"Ruminococcaceae NK4A214 group","NA","PC04924-MSA1003_Diff"
"435",NA,"Ruminococcaceae UCG-002","NA","PC04924-MSA1003_Diff"
"436",NA,"Ruminococcaceae UCG-003","NA","PC04924-MSA1003_Diff"
"437",NA,"Ruminococcaceae UCG-004","NA","PC04924-MSA1003_Diff"
"438",NA,"Ruminococcaceae UCG-005","NA","PC04924-MSA1003_Diff"
"439",NA,"Ruminococcaceae UCG-013","NA","PC04924-MSA1003_Diff"
"440",NA,"Ruminococcaceae UCG-014","NA","PC04924-MSA1003_Diff"
"441",NA,"Ruminococcus 1","NA","PC04924-MSA1003_Diff"
"442",NA,"Ruminococcus 2","NA","PC04924-MSA1003_Diff"
"443",NA,"Sellimonas","NA","PC04924-MSA1003_Diff"
"444",NA,"Serratia","NA","PC04924-MSA1003_Diff"
"445",NA,"Succiniclasticum","NA","PC04924-MSA1003_Diff"
"446",NA,"Tyzzerella","NA","PC04924-MSA1003_Diff"
"447",NA,"Tyzzerella 3","NA","PC04924-MSA1003_Diff"
"448",NA,"Acinetobacter","NA","PC04924-Seq.200_Diff"
"449",NA,"Actinomyces","NA","PC04924-Seq.200_Diff"
"450",NA,"Alistipes","NA","PC04924-Seq.200_Diff"
"451",NA,"Anaerostipes","NA","PC04924-Seq.200_Diff"
"452",NA,"Bacillus","49.5024469310941","PC04924-Seq.200_Diff"
"453",NA,"Bacteroides","NA","PC04924-Seq.200_Diff"
"454",NA,"Bifidobacterium","NA","PC04924-Seq.200_Diff"
"455",NA,"Bilophila","NA","PC04924-Seq.200_Diff"
"456",NA,"Clostridium","NA","PC04924-Seq.200_Diff"
"457",NA,"Lachnoclostridium","NA","PC04924-Seq.200_Diff"
"458",NA,"Collinsella","NA","PC04924-Seq.200_Diff"
"459",NA,"Coprobacillus","NA","PC04924-Seq.200_Diff"
"460",NA,"Cryptococcus",NA,"PC04924-Seq.200_Diff"
"461",NA,"Deinococcus","NA","PC04924-Seq.200_Diff"
"462",NA,"Enterococcus","-17.3309014581809","PC04924-Seq.200_Diff"
"463",NA,"Escherichia-Shigella","-41.9064114989988","PC04924-Seq.200_Diff"
"464",NA,"Fusobacterium","NA","PC04924-Seq.200_Diff"
"465",NA,"Helicobacter","NA","PC04924-Seq.200_Diff"
"466",NA,"Lactobacillus","-36.9010418758585","PC04924-Seq.200_Diff"
"467",NA,"Listeria","32.2611999646549","PC04924-Seq.200_Diff"
"468",NA,"Neisseria","NA","PC04924-Seq.200_Diff"
"469",NA,"Paenibacillus","NA","PC04924-Seq.200_Diff"
"470",NA,"Parabacteroides","NA","PC04924-Seq.200_Diff"
"471",NA,"Pediococcus","NA","PC04924-Seq.200_Diff"
"472",NA,"Porphyromonadaceae","NA","PC04924-Seq.200_Diff"
"473",NA,"Propionibacterium","NA","PC04924-Seq.200_Diff"
"474",NA,"Pseudomonas","-63.9844234789162","PC04924-Seq.200_Diff"
"475",NA,"Pyramidobacter","NA","PC04924-Seq.200_Diff"
"476",NA,"Ralstonia","NA","PC04924-Seq.200_Diff"
"477",NA,"Rhodobacter","NA","PC04924-Seq.200_Diff"
"478",NA,"Saccharomyces",NA,"PC04924-Seq.200_Diff"
"479",NA,"Salmonella",NA,"PC04924-Seq.200_Diff"
"480",NA,"Staphylococcus","72.2021020421656","PC04924-Seq.200_Diff"
"481",NA,"Streptococcus","NA","PC04924-Seq.200_Diff"
"482",NA,"Subdoligranulum","NA","PC04924-Seq.200_Diff"
"483",NA,"[Clostridium] innocuum group","NA","PC04924-Seq.200_Diff"
"484",NA,"[Eubacterium] coprostanoligenes group","NA","PC04924-Seq.200_Diff"
"485",NA,"[Eubacterium] eligens group","NA","PC04924-Seq.200_Diff"
"486",NA,"[Eubacterium] hallii group","NA","PC04924-Seq.200_Diff"
"487",NA,"[Eubacterium] rectale group","NA","PC04924-Seq.200_Diff"
"488",NA,"[Eubacterium] ventriosum group","NA","PC04924-Seq.200_Diff"
"489",NA,"[Eubacterium] xylanophilum group","NA","PC04924-Seq.200_Diff"
"490",NA,"[Ruminococcus] gauvreauii group","NA","PC04924-Seq.200_Diff"
"491",NA,"[Ruminococcus] torques group","NA","PC04924-Seq.200_Diff"
"492",NA,"Adlercreutzia","NA","PC04924-Seq.200_Diff"
"493",NA,"Akkermansia","NA","PC04924-Seq.200_Diff"
"494",NA,"Ambiguous_taxa","NA","PC04924-Seq.200_Diff"
"495",NA,"Anaerofilum","NA","PC04924-Seq.200_Diff"
"496",NA,"Anaerotruncus","NA","PC04924-Seq.200_Diff"
"497",NA,"Blautia","NA","PC04924-Seq.200_Diff"
"498",NA,"Butyricicoccus","NA","PC04924-Seq.200_Diff"
"499",NA,"Candidatus Stoquefichus","NA","PC04924-Seq.200_Diff"
"500",NA,"Carnobacterium","NA","PC04924-Seq.200_Diff"
"501",NA,"Christensenellaceae R-7 group","NA","PC04924-Seq.200_Diff"
"502",NA,"Clostridium sensu stricto 1","NA","PC04924-Seq.200_Diff"
"503",NA,"Coprococcus 1","NA","PC04924-Seq.200_Diff"
"504",NA,"Coprococcus 2","NA","PC04924-Seq.200_Diff"
"505",NA,"Coprococcus 3","NA","PC04924-Seq.200_Diff"
"506",NA,"Defluviitaleaceae UCG-011","NA","PC04924-Seq.200_Diff"
"507",NA,"Dialister","NA","PC04924-Seq.200_Diff"
"508",NA,"Dorea","NA","PC04924-Seq.200_Diff"
"509",NA,"Eisenbergiella","NA","PC04924-Seq.200_Diff"
"510",NA,"Enterobacter","NA","PC04924-Seq.200_Diff"
"511",NA,"Erwinia","NA","PC04924-Seq.200_Diff"
"512",NA,"Erysipelatoclostridium","NA","PC04924-Seq.200_Diff"
"513",NA,"Erysipelotrichaceae UCG-003","NA","PC04924-Seq.200_Diff"
"514",NA,"Faecalibacterium","NA","PC04924-Seq.200_Diff"
"515",NA,"Family XIII AD3011 group","NA","PC04924-Seq.200_Diff"
"516",NA,"Flavonifractor","NA","PC04924-Seq.200_Diff"
"517",NA,"Fusicatenibacter","NA","PC04924-Seq.200_Diff"
"518",NA,"Gordonibacter","NA","PC04924-Seq.200_Diff"
"519",NA,"Gossypium arboreum","NA","PC04924-Seq.200_Diff"
"520",NA,"Holdemania","NA","PC04924-Seq.200_Diff"
"521",NA,"Hungatella","NA","PC04924-Seq.200_Diff"
"522",NA,"Intestinibacter","NA","PC04924-Seq.200_Diff"
"523",NA,"Intestinimonas","NA","PC04924-Seq.200_Diff"
"524",NA,"Kluyvera","NA","PC04924-Seq.200_Diff"
"525",NA,"Lachnospira","NA","PC04924-Seq.200_Diff"
"526",NA,"Lachnospiraceae FCS020 group","NA","PC04924-Seq.200_Diff"
"527",NA,"Lachnospiraceae ND3007 group","NA","PC04924-Seq.200_Diff"
"528",NA,"Lachnospiraceae NK4A136 group","NA","PC04924-Seq.200_Diff"
"529",NA,"Lachnospiraceae UCG-001","NA","PC04924-Seq.200_Diff"
"530",NA,"Lachnospiraceae UCG-004","NA","PC04924-Seq.200_Diff"
"531",NA,"Lachnospiraceae UCG-008","NA","PC04924-Seq.200_Diff"
"532",NA,"Lactonifactor","NA","PC04924-Seq.200_Diff"
"533",NA,"Marvinbryantia","NA","PC04924-Seq.200_Diff"
"534",NA,"Odoribacter","NA","PC04924-Seq.200_Diff"
"535",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04924-Seq.200_Diff"
"536",NA,"Other","NA","PC04924-Seq.200_Diff"
"537",NA,"Oxalobacter","NA","PC04924-Seq.200_Diff"
"538",NA,"Parasutterella","NA","PC04924-Seq.200_Diff"
"539",NA,"Phascolarctobacterium","NA","PC04924-Seq.200_Diff"
"540",NA,"Porphyromonas","NA","PC04924-Seq.200_Diff"
"541",NA,"Raoultella","NA","PC04924-Seq.200_Diff"
"542",NA,"Roseburia","NA","PC04924-Seq.200_Diff"
"543",NA,"Ruminiclostridium","NA","PC04924-Seq.200_Diff"
"544",NA,"Ruminiclostridium 5","NA","PC04924-Seq.200_Diff"
"545",NA,"Ruminiclostridium 9","NA","PC04924-Seq.200_Diff"
"546",NA,"Ruminococcaceae NK4A214 group","NA","PC04924-Seq.200_Diff"
"547",NA,"Ruminococcaceae UCG-002","NA","PC04924-Seq.200_Diff"
"548",NA,"Ruminococcaceae UCG-003","NA","PC04924-Seq.200_Diff"
"549",NA,"Ruminococcaceae UCG-004","NA","PC04924-Seq.200_Diff"
"550",NA,"Ruminococcaceae UCG-005","NA","PC04924-Seq.200_Diff"
"551",NA,"Ruminococcaceae UCG-013","NA","PC04924-Seq.200_Diff"
"552",NA,"Ruminococcaceae UCG-014","NA","PC04924-Seq.200_Diff"
"553",NA,"Ruminococcus 1","NA","PC04924-Seq.200_Diff"
"554",NA,"Ruminococcus 2","NA","PC04924-Seq.200_Diff"
"555",NA,"Sellimonas","NA","PC04924-Seq.200_Diff"
"556",NA,"Serratia","NA","PC04924-Seq.200_Diff"
"557",NA,"Succiniclasticum","NA","PC04924-Seq.200_Diff"
"558",NA,"Tyzzerella","NA","PC04924-Seq.200_Diff"
"559",NA,"Tyzzerella 3","NA","PC04924-Seq.200_Diff"
"560",NA,"Acinetobacter","NA","PC04924-Seq.2000_Diff"
"561",NA,"Actinomyces","NA","PC04924-Seq.2000_Diff"
"562",NA,"Alistipes","NA","PC04924-Seq.2000_Diff"
"563",NA,"Anaerostipes","NA","PC04924-Seq.2000_Diff"
"564",NA,"Bacillus","46.2662880922185","PC04924-Seq.2000_Diff"
"565",NA,"Bacteroides","NA","PC04924-Seq.2000_Diff"
"566",NA,"Bifidobacterium","NA","PC04924-Seq.2000_Diff"
"567",NA,"Bilophila","NA","PC04924-Seq.2000_Diff"
"568",NA,"Clostridium","NA","PC04924-Seq.2000_Diff"
"569",NA,"Lachnoclostridium","NA","PC04924-Seq.2000_Diff"
"570",NA,"Collinsella","NA","PC04924-Seq.2000_Diff"
"571",NA,"Coprobacillus","NA","PC04924-Seq.2000_Diff"
"572",NA,"Cryptococcus",NA,"PC04924-Seq.2000_Diff"
"573",NA,"Deinococcus","NA","PC04924-Seq.2000_Diff"
"574",NA,"Enterococcus","-9.95365319093999","PC04924-Seq.2000_Diff"
"575",NA,"Escherichia-Shigella","-57.7929530749913","PC04924-Seq.2000_Diff"
"576",NA,"Fusobacterium","NA","PC04924-Seq.2000_Diff"
"577",NA,"Helicobacter","NA","PC04924-Seq.2000_Diff"
"578",NA,"Lactobacillus","-7.27740244580628","PC04924-Seq.2000_Diff"
"579",NA,"Listeria","26.0873156147277","PC04924-Seq.2000_Diff"
"580",NA,"Neisseria","NA","PC04924-Seq.2000_Diff"
"581",NA,"Paenibacillus","NA","PC04924-Seq.2000_Diff"
"582",NA,"Parabacteroides","NA","PC04924-Seq.2000_Diff"
"583",NA,"Pediococcus","NA","PC04924-Seq.2000_Diff"
"584",NA,"Porphyromonadaceae","NA","PC04924-Seq.2000_Diff"
"585",NA,"Propionibacterium","NA","PC04924-Seq.2000_Diff"
"586",NA,"Pseudomonas","-58.5131857491223","PC04924-Seq.2000_Diff"
"587",NA,"Pyramidobacter","NA","PC04924-Seq.2000_Diff"
"588",NA,"Ralstonia","NA","PC04924-Seq.2000_Diff"
"589",NA,"Rhodobacter","NA","PC04924-Seq.2000_Diff"
"590",NA,"Saccharomyces",NA,"PC04924-Seq.2000_Diff"
"591",NA,"Salmonella",NA,"PC04924-Seq.2000_Diff"
"592",NA,"Staphylococcus","68.1242987673553","PC04924-Seq.2000_Diff"
"593",NA,"Streptococcus","NA","PC04924-Seq.2000_Diff"
"594",NA,"Subdoligranulum","NA","PC04924-Seq.2000_Diff"
"595",NA,"[Clostridium] innocuum group","NA","PC04924-Seq.2000_Diff"
"596",NA,"[Eubacterium] coprostanoligenes group","NA","PC04924-Seq.2000_Diff"
"597",NA,"[Eubacterium] eligens group","NA","PC04924-Seq.2000_Diff"
"598",NA,"[Eubacterium] hallii group","NA","PC04924-Seq.2000_Diff"
"599",NA,"[Eubacterium] rectale group","NA","PC04924-Seq.2000_Diff"
"600",NA,"[Eubacterium] ventriosum group","NA","PC04924-Seq.2000_Diff"
"601",NA,"[Eubacterium] xylanophilum group","NA","PC04924-Seq.2000_Diff"
"602",NA,"[Ruminococcus] gauvreauii group","NA","PC04924-Seq.2000_Diff"
"603",NA,"[Ruminococcus] torques group","NA","PC04924-Seq.2000_Diff"
"604",NA,"Adlercreutzia","NA","PC04924-Seq.2000_Diff"
"605",NA,"Akkermansia","NA","PC04924-Seq.2000_Diff"
"606",NA,"Ambiguous_taxa","NA","PC04924-Seq.2000_Diff"
"607",NA,"Anaerofilum","NA","PC04924-Seq.2000_Diff"
"608",NA,"Anaerotruncus","NA","PC04924-Seq.2000_Diff"
"609",NA,"Blautia","NA","PC04924-Seq.2000_Diff"
"610",NA,"Butyricicoccus","NA","PC04924-Seq.2000_Diff"
"611",NA,"Candidatus Stoquefichus","NA","PC04924-Seq.2000_Diff"
"612",NA,"Carnobacterium","NA","PC04924-Seq.2000_Diff"
"613",NA,"Christensenellaceae R-7 group","NA","PC04924-Seq.2000_Diff"
"614",NA,"Clostridium sensu stricto 1","NA","PC04924-Seq.2000_Diff"
"615",NA,"Coprococcus 1","NA","PC04924-Seq.2000_Diff"
"616",NA,"Coprococcus 2","NA","PC04924-Seq.2000_Diff"
"617",NA,"Coprococcus 3","NA","PC04924-Seq.2000_Diff"
"618",NA,"Defluviitaleaceae UCG-011","NA","PC04924-Seq.2000_Diff"
"619",NA,"Dialister","NA","PC04924-Seq.2000_Diff"
"620",NA,"Dorea","NA","PC04924-Seq.2000_Diff"
"621",NA,"Eisenbergiella","NA","PC04924-Seq.2000_Diff"
"622",NA,"Enterobacter","NA","PC04924-Seq.2000_Diff"
"623",NA,"Erwinia","NA","PC04924-Seq.2000_Diff"
"624",NA,"Erysipelatoclostridium","NA","PC04924-Seq.2000_Diff"
"625",NA,"Erysipelotrichaceae UCG-003","NA","PC04924-Seq.2000_Diff"
"626",NA,"Faecalibacterium","NA","PC04924-Seq.2000_Diff"
"627",NA,"Family XIII AD3011 group","NA","PC04924-Seq.2000_Diff"
"628",NA,"Flavonifractor","NA","PC04924-Seq.2000_Diff"
"629",NA,"Fusicatenibacter","NA","PC04924-Seq.2000_Diff"
"630",NA,"Gordonibacter","NA","PC04924-Seq.2000_Diff"
"631",NA,"Gossypium arboreum","NA","PC04924-Seq.2000_Diff"
"632",NA,"Holdemania","NA","PC04924-Seq.2000_Diff"
"633",NA,"Hungatella","NA","PC04924-Seq.2000_Diff"
"634",NA,"Intestinibacter","NA","PC04924-Seq.2000_Diff"
"635",NA,"Intestinimonas","NA","PC04924-Seq.2000_Diff"
"636",NA,"Kluyvera","NA","PC04924-Seq.2000_Diff"
"637",NA,"Lachnospira","NA","PC04924-Seq.2000_Diff"
"638",NA,"Lachnospiraceae FCS020 group","NA","PC04924-Seq.2000_Diff"
"639",NA,"Lachnospiraceae ND3007 group","NA","PC04924-Seq.2000_Diff"
"640",NA,"Lachnospiraceae NK4A136 group","NA","PC04924-Seq.2000_Diff"
"641",NA,"Lachnospiraceae UCG-001","NA","PC04924-Seq.2000_Diff"
"642",NA,"Lachnospiraceae UCG-004","NA","PC04924-Seq.2000_Diff"
"643",NA,"Lachnospiraceae UCG-008","NA","PC04924-Seq.2000_Diff"
"644",NA,"Lactonifactor","NA","PC04924-Seq.2000_Diff"
"645",NA,"Marvinbryantia","NA","PC04924-Seq.2000_Diff"
"646",NA,"Odoribacter","NA","PC04924-Seq.2000_Diff"
"647",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04924-Seq.2000_Diff"
"648",NA,"Other","NA","PC04924-Seq.2000_Diff"
"649",NA,"Oxalobacter","NA","PC04924-Seq.2000_Diff"
"650",NA,"Parasutterella","NA","PC04924-Seq.2000_Diff"
"651",NA,"Phascolarctobacterium","NA","PC04924-Seq.2000_Diff"
"652",NA,"Porphyromonas","NA","PC04924-Seq.2000_Diff"
"653",NA,"Raoultella","NA","PC04924-Seq.2000_Diff"
"654",NA,"Roseburia","NA","PC04924-Seq.2000_Diff"
"655",NA,"Ruminiclostridium","NA","PC04924-Seq.2000_Diff"
"656",NA,"Ruminiclostridium 5","NA","PC04924-Seq.2000_Diff"
"657",NA,"Ruminiclostridium 9","NA","PC04924-Seq.2000_Diff"
"658",NA,"Ruminococcaceae NK4A214 group","NA","PC04924-Seq.2000_Diff"
"659",NA,"Ruminococcaceae UCG-002","NA","PC04924-Seq.2000_Diff"
"660",NA,"Ruminococcaceae UCG-003","NA","PC04924-Seq.2000_Diff"
"661",NA,"Ruminococcaceae UCG-004","NA","PC04924-Seq.2000_Diff"
"662",NA,"Ruminococcaceae UCG-005","NA","PC04924-Seq.2000_Diff"
"663",NA,"Ruminococcaceae UCG-013","NA","PC04924-Seq.2000_Diff"
"664",NA,"Ruminococcaceae UCG-014","NA","PC04924-Seq.2000_Diff"
"665",NA,"Ruminococcus 1","NA","PC04924-Seq.2000_Diff"
"666",NA,"Ruminococcus 2","NA","PC04924-Seq.2000_Diff"
"667",NA,"Sellimonas","NA","PC04924-Seq.2000_Diff"
"668",NA,"Serratia","NA","PC04924-Seq.2000_Diff"
"669",NA,"Succiniclasticum","NA","PC04924-Seq.2000_Diff"
"670",NA,"Tyzzerella","NA","PC04924-Seq.2000_Diff"
"671",NA,"Tyzzerella 3","NA","PC04924-Seq.2000_Diff"
"672",NA,"Acinetobacter","NA","PC04925-MSA1000_Diff"
"673",NA,"Actinomyces","NA","PC04925-MSA1000_Diff"
"674",NA,"Alistipes","NA","PC04925-MSA1000_Diff"
"675",NA,"Anaerostipes","NA","PC04925-MSA1000_Diff"
"676",NA,"Bacillus","-99.9001892162932","PC04925-MSA1000_Diff"
"677",NA,"Bacteroides","NA","PC04925-MSA1000_Diff"
"678",NA,"Bifidobacterium","NA","PC04925-MSA1000_Diff"
"679",NA,"Bilophila","NA","PC04925-MSA1000_Diff"
"680",NA,"Clostridium","NA","PC04925-MSA1000_Diff"
"681",NA,"Lachnoclostridium","NA","PC04925-MSA1000_Diff"
"682",NA,"Collinsella","NA","PC04925-MSA1000_Diff"
"683",NA,"Coprobacillus","NA","PC04925-MSA1000_Diff"
"684",NA,"Cryptococcus",NA,"PC04925-MSA1000_Diff"
"685",NA,"Deinococcus","NA","PC04925-MSA1000_Diff"
"686",NA,"Enterococcus","-67.7204045693534","PC04925-MSA1000_Diff"
"687",NA,"Escherichia-Shigella","-34.7360086942764","PC04925-MSA1000_Diff"
"688",NA,"Fusobacterium","NA","PC04925-MSA1000_Diff"
"689",NA,"Helicobacter","NA","PC04925-MSA1000_Diff"
"690",NA,"Lactobacillus","-54.3215948365885","PC04925-MSA1000_Diff"
"691",NA,"Listeria","-99.935322612158","PC04925-MSA1000_Diff"
"692",NA,"Neisseria","NA","PC04925-MSA1000_Diff"
"693",NA,"Paenibacillus","NA","PC04925-MSA1000_Diff"
"694",NA,"Parabacteroides","NA","PC04925-MSA1000_Diff"
"695",NA,"Pediococcus","NA","PC04925-MSA1000_Diff"
"696",NA,"Porphyromonadaceae","NA","PC04925-MSA1000_Diff"
"697",NA,"Propionibacterium","NA","PC04925-MSA1000_Diff"
"698",NA,"Pseudomonas","-99.9944320430577","PC04925-MSA1000_Diff"
"699",NA,"Pyramidobacter","NA","PC04925-MSA1000_Diff"
"700",NA,"Ralstonia","NA","PC04925-MSA1000_Diff"
"701",NA,"Rhodobacter","NA","PC04925-MSA1000_Diff"
"702",NA,"Saccharomyces",NA,"PC04925-MSA1000_Diff"
"703",NA,"Salmonella",NA,"PC04925-MSA1000_Diff"
"704",NA,"Staphylococcus","-34.7421740619835","PC04925-MSA1000_Diff"
"705",NA,"Streptococcus","NA","PC04925-MSA1000_Diff"
"706",NA,"Subdoligranulum","NA","PC04925-MSA1000_Diff"
"707",NA,"[Clostridium] innocuum group","NA","PC04925-MSA1000_Diff"
"708",NA,"[Eubacterium] coprostanoligenes group","NA","PC04925-MSA1000_Diff"
"709",NA,"[Eubacterium] eligens group","NA","PC04925-MSA1000_Diff"
"710",NA,"[Eubacterium] hallii group","NA","PC04925-MSA1000_Diff"
"711",NA,"[Eubacterium] rectale group","NA","PC04925-MSA1000_Diff"
"712",NA,"[Eubacterium] ventriosum group","NA","PC04925-MSA1000_Diff"
"713",NA,"[Eubacterium] xylanophilum group","NA","PC04925-MSA1000_Diff"
"714",NA,"[Ruminococcus] gauvreauii group","NA","PC04925-MSA1000_Diff"
"715",NA,"[Ruminococcus] torques group","NA","PC04925-MSA1000_Diff"
"716",NA,"Adlercreutzia","NA","PC04925-MSA1000_Diff"
"717",NA,"Akkermansia","NA","PC04925-MSA1000_Diff"
"718",NA,"Ambiguous_taxa","NA","PC04925-MSA1000_Diff"
"719",NA,"Anaerofilum","NA","PC04925-MSA1000_Diff"
"720",NA,"Anaerotruncus","NA","PC04925-MSA1000_Diff"
"721",NA,"Blautia","NA","PC04925-MSA1000_Diff"
"722",NA,"Butyricicoccus","NA","PC04925-MSA1000_Diff"
"723",NA,"Candidatus Stoquefichus","NA","PC04925-MSA1000_Diff"
"724",NA,"Carnobacterium","NA","PC04925-MSA1000_Diff"
"725",NA,"Christensenellaceae R-7 group","NA","PC04925-MSA1000_Diff"
"726",NA,"Clostridium sensu stricto 1","NA","PC04925-MSA1000_Diff"
"727",NA,"Coprococcus 1","NA","PC04925-MSA1000_Diff"
"728",NA,"Coprococcus 2","NA","PC04925-MSA1000_Diff"
"729",NA,"Coprococcus 3","NA","PC04925-MSA1000_Diff"
"730",NA,"Defluviitaleaceae UCG-011","NA","PC04925-MSA1000_Diff"
"731",NA,"Dialister","NA","PC04925-MSA1000_Diff"
"732",NA,"Dorea","NA","PC04925-MSA1000_Diff"
"733",NA,"Eisenbergiella","NA","PC04925-MSA1000_Diff"
"734",NA,"Enterobacter","NA","PC04925-MSA1000_Diff"
"735",NA,"Erwinia","NA","PC04925-MSA1000_Diff"
"736",NA,"Erysipelatoclostridium","NA","PC04925-MSA1000_Diff"
"737",NA,"Erysipelotrichaceae UCG-003","NA","PC04925-MSA1000_Diff"
"738",NA,"Faecalibacterium","NA","PC04925-MSA1000_Diff"
"739",NA,"Family XIII AD3011 group","NA","PC04925-MSA1000_Diff"
"740",NA,"Flavonifractor","NA","PC04925-MSA1000_Diff"
"741",NA,"Fusicatenibacter","NA","PC04925-MSA1000_Diff"
"742",NA,"Gordonibacter","NA","PC04925-MSA1000_Diff"
"743",NA,"Gossypium arboreum","NA","PC04925-MSA1000_Diff"
"744",NA,"Holdemania","NA","PC04925-MSA1000_Diff"
"745",NA,"Hungatella","NA","PC04925-MSA1000_Diff"
"746",NA,"Intestinibacter","NA","PC04925-MSA1000_Diff"
"747",NA,"Intestinimonas","NA","PC04925-MSA1000_Diff"
"748",NA,"Kluyvera","NA","PC04925-MSA1000_Diff"
"749",NA,"Lachnospira","NA","PC04925-MSA1000_Diff"
"750",NA,"Lachnospiraceae FCS020 group","NA","PC04925-MSA1000_Diff"
"751",NA,"Lachnospiraceae ND3007 group","NA","PC04925-MSA1000_Diff"
"752",NA,"Lachnospiraceae NK4A136 group","NA","PC04925-MSA1000_Diff"
"753",NA,"Lachnospiraceae UCG-001","NA","PC04925-MSA1000_Diff"
"754",NA,"Lachnospiraceae UCG-004","NA","PC04925-MSA1000_Diff"
"755",NA,"Lachnospiraceae UCG-008","NA","PC04925-MSA1000_Diff"
"756",NA,"Lactonifactor","NA","PC04925-MSA1000_Diff"
"757",NA,"Marvinbryantia","NA","PC04925-MSA1000_Diff"
"758",NA,"Odoribacter","NA","PC04925-MSA1000_Diff"
"759",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04925-MSA1000_Diff"
"760",NA,"Other","NA","PC04925-MSA1000_Diff"
"761",NA,"Oxalobacter","NA","PC04925-MSA1000_Diff"
"762",NA,"Parasutterella","NA","PC04925-MSA1000_Diff"
"763",NA,"Phascolarctobacterium","NA","PC04925-MSA1000_Diff"
"764",NA,"Porphyromonas","NA","PC04925-MSA1000_Diff"
"765",NA,"Raoultella","NA","PC04925-MSA1000_Diff"
"766",NA,"Roseburia","NA","PC04925-MSA1000_Diff"
"767",NA,"Ruminiclostridium","NA","PC04925-MSA1000_Diff"
