"","Genus","value","Control","BINF"
"456","Ruminococcaceae UCG-004",NA,"Zymo.2000","QIIME2"
"457","Ruminococcaceae UCG-005",NA,"Zymo.2000","QIIME2"
"458","Ruminococcaceae UCG-013",NA,"Zymo.2000","QIIME2"
"459","Ruminococcaceae UCG-014",NA,"Zymo.2000","QIIME2"
"460","Ruminococcus 1",NA,"Zymo.2000","QIIME2"
"461","Ruminococcus 2",NA,"Zymo.2000","QIIME2"
"462","Sellimonas",NA,"Zymo.2000","QIIME2"
"463","Serratia",NA,"Zymo.2000","QIIME2"
"464","Succiniclasticum",NA,"Zymo.2000","QIIME2"
"465","Tyzzerella",NA,"Zymo.2000","QIIME2"
"466","Tyzzerella 3",NA,"Zymo.2000","QIIME2"
"467","Abiotrophia",NA,"Zymo.2000","QIIME2"
"468","Acetanaerobacterium",NA,"Zymo.2000","QIIME2"
"469","Acidaminococcus",NA,"Zymo.2000","QIIME2"
"470","Actinobacillus",NA,"Zymo.2000","QIIME2"
"471","Alcaligenes",NA,"Zymo.2000","QIIME2"
"472","Alkanindiges",NA,"Zymo.2000","QIIME2"
"473","Alloprevotella",NA,"Zymo.2000","QIIME2"
"474","Anaerococcus",NA,"Zymo.2000","QIIME2"
"475","Anaerofustis",NA,"Zymo.2000","QIIME2"
"476","Anaeromyxobacter",NA,"Zymo.2000","QIIME2"
"477","Anaerosporobacter",NA,"Zymo.2000","QIIME2"
"478","Arthrobacter",NA,"Zymo.2000","QIIME2"
"479","Atopobium",NA,"Zymo.2000","QIIME2"
"480","Azospirillum",NA,"Zymo.2000","QIIME2"
"481","Bergeyella",NA,"Zymo.2000","QIIME2"
"482","Bradyrhizobium",NA,"Zymo.2000","QIIME2"
"483","Brevundimonas",NA,"Zymo.2000","QIIME2"
"484","Bryobacter",NA,"Zymo.2000","QIIME2"
"485","Butyricimonas",NA,"Zymo.2000","QIIME2"
"486","Campylobacter",NA,"Zymo.2000","QIIME2"
"487","Candidatus Planktophila",NA,"Zymo.2000","QIIME2"
"488","Capnocytophaga",NA,"Zymo.2000","QIIME2"
"489","Christensenella",NA,"Zymo.2000","QIIME2"
"490","Coprococcus",NA,"Zymo.2000","QIIME2"
"491","Corynebacterium",NA,"Zymo.2000","QIIME2"
"492","Desulfovibrio",NA,"Zymo.2000","QIIME2"
"493","Devosia",NA,"Zymo.2000","QIIME2"
"494","Dolosigranulum",NA,"Zymo.2000","QIIME2"
"495","Eggerthella",NA,"Zymo.2000","QIIME2"
"496","Eggerthia",NA,"Zymo.2000","QIIME2"
"497","Enterorhabdus",NA,"Zymo.2000","QIIME2"
"498","Finegoldia",NA,"Zymo.2000","QIIME2"
"499","Gemella",NA,"Zymo.2000","QIIME2"
"500","Granulicatella",NA,"Zymo.2000","QIIME2"
"501","Haemophilus",NA,"Zymo.2000","QIIME2"
"502","Incertae Sedis",NA,"Zymo.2000","QIIME2"
"503","Lachnoanaerobaculum",NA,"Zymo.2000","QIIME2"
"504","Lactococcus",NA,"Zymo.2000","QIIME2"
"505","Lautropia",NA,"Zymo.2000","QIIME2"
"506","Leptotrichia",NA,"Zymo.2000","QIIME2"
"507","Leuconostoc",NA,"Zymo.2000","QIIME2"
"508","Lysobacter",NA,"Zymo.2000","QIIME2"
"509","Massilia",NA,"Zymo.2000","QIIME2"
"510","Megasphaera",NA,"Zymo.2000","QIIME2"
"511","Methylobacterium",NA,"Zymo.2000","QIIME2"
"512","Mogibacterium",NA,"Zymo.2000","QIIME2"
"513","Moraxella",NA,"Zymo.2000","QIIME2"
"514","Mycobacterium",NA,"Zymo.2000","QIIME2"
"515","Nevskia",NA,"Zymo.2000","QIIME2"
"516","Nocardioides",NA,"Zymo.2000","QIIME2"
"517","Nosocomiicoccus",NA,"Zymo.2000","QIIME2"
"518","Oribacterium",NA,"Zymo.2000","QIIME2"
"519","Oscillibacter",NA,"Zymo.2000","QIIME2"
"520","Oscillospira",NA,"Zymo.2000","QIIME2"
"521","Papillibacter",NA,"Zymo.2000","QIIME2"
"522","Paracoccus",NA,"Zymo.2000","QIIME2"
"523","Pedobacter",NA,"Zymo.2000","QIIME2"
"524","Peptoniphilus",NA,"Zymo.2000","QIIME2"
"525","Phenylobacterium",NA,"Zymo.2000","QIIME2"
"526","Prevotella",NA,"Zymo.2000","QIIME2"
"527","Pseudobutyrivibrio",NA,"Zymo.2000","QIIME2"
"528","Rhizobium",NA,"Zymo.2000","QIIME2"
"529","Rothia",NA,"Zymo.2000","QIIME2"
"530","Rubellimicrobium",NA,"Zymo.2000","QIIME2"
"531","Ruminococcus",NA,"Zymo.2000","QIIME2"
"532","Salinarimonas",NA,"Zymo.2000","QIIME2"
"533","Scardovia",NA,"Zymo.2000","QIIME2"
"534","Sediminibacterium",NA,"Zymo.2000","QIIME2"
"535","Solobacterium",NA,"Zymo.2000","QIIME2"
"536","Sphingomonas",NA,"Zymo.2000","QIIME2"
"537","Stomatobaculum",NA,"Zymo.2000","QIIME2"
"538","Sutterella",NA,"Zymo.2000","QIIME2"
"539","Synergistes",NA,"Zymo.2000","QIIME2"
"540","Thalassospira",NA,"Zymo.2000","QIIME2"
"541","Treponema",NA,"Zymo.2000","QIIME2"
"542","Turicibacter",NA,"Zymo.2000","QIIME2"
"543","uncultured",NA,"Zymo.2000","QIIME2"
"544","Veillonella",NA,"Zymo.2000","QIIME2"
"545","Weissella",NA,"Zymo.2000","QIIME2"
"546","Basidiomycota",0.000955616333333333,"Zymo.2000","QIIME2"
"547","Acinetobacter",NA,"Zymo.2000","Nephele"
"548","Actinomyces",NA,"Zymo.2000","Nephele"
"549","Alistipes",0.000105943,"Zymo.2000","Nephele"
"550","Anaerostipes",2.08e-05,"Zymo.2000","Nephele"
"551","Bacteroides",0.000234999333333333,"Zymo.2000","Nephele"
"552","Bifidobacterium",NA,"Zymo.2000","Nephele"
"553","Bilophila",2.5e-05,"Zymo.2000","Nephele"
"554","Clostridium",NA,"Zymo.2000","Nephele"
"555","Lachnoclostridium",3.73666666666667e-05,"Zymo.2000","Nephele"
"556","Collinsella",2.51e-05,"Zymo.2000","Nephele"
"557","Coprobacillus",NA,"Zymo.2000","Nephele"
"558","Deinococcus",NA,"Zymo.2000","Nephele"
"559","Fusobacterium",6.03523333333333e-05,"Zymo.2000","Nephele"
"560","Helicobacter",NA,"Zymo.2000","Nephele"
"561","Neisseria",NA,"Zymo.2000","Nephele"
"562","Paenibacillus",1.29533333333333e-05,"Zymo.2000","Nephele"
"563","Parabacteroides",3.51666666666667e-05,"Zymo.2000","Nephele"
"564","Pediococcus",1.52e-05,"Zymo.2000","Nephele"
"565","Porphyromonadaceae",NA,"Zymo.2000","Nephele"
"566","Propionibacterium",NA,"Zymo.2000","Nephele"
"567","Pyramidobacter",NA,"Zymo.2000","Nephele"
"568","Ralstonia",8.315e-06,"Zymo.2000","Nephele"
"569","Rhodobacter",8.37e-06,"Zymo.2000","Nephele"
"570","Streptococcus",1.339e-05,"Zymo.2000","Nephele"
"571","Subdoligranulum",0.000376843,"Zymo.2000","Nephele"
"572","Clostridium innocuum group",NA,"Zymo.2000","Nephele"
"573","Eubacterium coprostanoligenes group",2.0235e-05,"Zymo.2000","Nephele"
"574","Eubacterium eligens group",8.37e-06,"Zymo.2000","Nephele"
"575","Eubacterium hallii group",2.508e-05,"Zymo.2000","Nephele"
"576","Eubacterium rectale group",8.22523333333333e-05,"Zymo.2000","Nephele"
"577","Eubacterium ventriosum group",6.97e-06,"Zymo.2000","Nephele"
"578","Eubacterium xylanophilum group",8.37e-06,"Zymo.2000","Nephele"
"579","Ruminococcus gauvreauii group",1.06133333333333e-05,"Zymo.2000","Nephele"
"580","Ruminococcus torques group",8.37e-06,"Zymo.2000","Nephele"
"581","Adlercreutzia",NA,"Zymo.2000","Nephele"
"582","Akkermansia",0.000149874333333333,"Zymo.2000","Nephele"
"583","Ambiguous_taxa",8.0376e-05,"Zymo.2000","Nephele"
"584","Anaerofilum",NA,"Zymo.2000","Nephele"
"585","Anaerotruncus",NA,"Zymo.2000","Nephele"
"586","Blautia",4.69033333333333e-05,"Zymo.2000","Nephele"
"587","Butyricicoccus",5.3731e-05,"Zymo.2000","Nephele"
"588","Candidatus Stoquefichus",1.1735e-05,"Zymo.2000","Nephele"
"589","Carnobacterium",0.000926109666666667,"Zymo.2000","Nephele"
"590","Christensenellaceae R-7 group",1.67e-05,"Zymo.2000","Nephele"
"591","Clostridium sensu stricto 1",2.088e-05,"Zymo.2000","Nephele"
"592","Coprococcus 1",8.37e-06,"Zymo.2000","Nephele"
"593","Coprococcus 2",6.22543333333333e-05,"Zymo.2000","Nephele"
"594","Coprococcus 3",NA,"Zymo.2000","Nephele"
"595","Defluviitaleaceae UCG-011",NA,"Zymo.2000","Nephele"
"596","Dialister",3.35e-05,"Zymo.2000","Nephele"
"597","Dorea",8.37e-05,"Zymo.2000","Nephele"
"598","Eisenbergiella",NA,"Zymo.2000","Nephele"
"599","Enterobacter",0.00400718166666667,"Zymo.2000","Nephele"
"600","Erwinia",0.000624283666666667,"Zymo.2000","Nephele"
"601","Erysipelatoclostridium",NA,"Zymo.2000","Nephele"
"602","Erysipelotrichaceae UCG-003",4.19e-05,"Zymo.2000","Nephele"
"603","Faecalibacterium",0.000208709666666667,"Zymo.2000","Nephele"
"604","Family XIII AD3011 group",NA,"Zymo.2000","Nephele"
"605","Flavonifractor",NA,"Zymo.2000","Nephele"
"606","Fusicatenibacter",3.335e-05,"Zymo.2000","Nephele"
"607","Gordonibacter",NA,"Zymo.2000","Nephele"
"608","Gossypium arboreum",NA,"Zymo.2000","Nephele"
"609","Holdemania",8.26e-06,"Zymo.2000","Nephele"
"610","Hungatella",6.97e-06,"Zymo.2000","Nephele"
"611","Intestinibacter",NA,"Zymo.2000","Nephele"
"612","Intestinimonas",NA,"Zymo.2000","Nephele"
"613","Kluyvera",0.002039912,"Zymo.2000","Nephele"
"614","Lachnospira",2.51e-05,"Zymo.2000","Nephele"
"615","Lachnospiraceae FCS020 group",NA,"Zymo.2000","Nephele"
"616","Lachnospiraceae ND3007 group",1.67e-05,"Zymo.2000","Nephele"
"617","Lachnospiraceae NK4A136 group",2.92533333333333e-05,"Zymo.2000","Nephele"
"618","Lachnospiraceae UCG-001",4.1185e-05,"Zymo.2000","Nephele"
"619","Lachnospiraceae UCG-004",NA,"Zymo.2000","Nephele"
"620","Lachnospiraceae UCG-008",NA,"Zymo.2000","Nephele"
"621","Lactonifactor",NA,"Zymo.2000","Nephele"
"622","Marvinbryantia",NA,"Zymo.2000","Nephele"
"623","Odoribacter",NA,"Zymo.2000","Nephele"
"624","Oryza sativa Indica Group (long-grained rice)",NA,"Zymo.2000","Nephele"
"625","Other",0.001321034,"Zymo.2000","Nephele"
"626","Oxalobacter",8.37e-06,"Zymo.2000","Nephele"
"627","Parasutterella",NA,"Zymo.2000","Nephele"
"628","Phascolarctobacterium",2.088e-05,"Zymo.2000","Nephele"
"629","Porphyromonas",NA,"Zymo.2000","Nephele"
"630","Raoultella",0.0919482126666667,"Zymo.2000","Nephele"
"631","Roseburia",0.0001169915,"Zymo.2000","Nephele"
"632","Ruminiclostridium",8.37e-06,"Zymo.2000","Nephele"
"633","Ruminiclostridium 5",3.335e-05,"Zymo.2000","Nephele"
"634","Ruminiclostridium 9",6.97e-06,"Zymo.2000","Nephele"
"635","Ruminococcaceae NK4A214 group",6.9757e-05,"Zymo.2000","Nephele"
"636","Ruminococcaceae UCG-002",8.72696666666667e-05,"Zymo.2000","Nephele"
"637","Ruminococcaceae UCG-003",2.08e-05,"Zymo.2000","Nephele"
"638","Ruminococcaceae UCG-004",8.37e-06,"Zymo.2000","Nephele"
"639","Ruminococcaceae UCG-005",2.95333333333333e-05,"Zymo.2000","Nephele"
"640","Ruminococcaceae UCG-013",3.35e-05,"Zymo.2000","Nephele"
"641","Ruminococcaceae UCG-014",2.461e-05,"Zymo.2000","Nephele"
"642","Ruminococcus 1",7.52373333333333e-05,"Zymo.2000","Nephele"
"643","Ruminococcus 2",0.000134509666666667,"Zymo.2000","Nephele"
"644","Sellimonas",6.97e-06,"Zymo.2000","Nephele"
"645","Serratia",0.00891765566666666,"Zymo.2000","Nephele"
"646","Succiniclasticum",1.1735e-05,"Zymo.2000","Nephele"
"647","Tyzzerella",1.67e-05,"Zymo.2000","Nephele"
"648","Tyzzerella 3",NA,"Zymo.2000","Nephele"
"649","Abiotrophia",NA,"Zymo.2000","Nephele"
"650","Acetanaerobacterium",NA,"Zymo.2000","Nephele"
"651","Acidaminococcus",NA,"Zymo.2000","Nephele"
"652","Actinobacillus",NA,"Zymo.2000","Nephele"
"653","Alcaligenes",NA,"Zymo.2000","Nephele"
"654","Alkanindiges",NA,"Zymo.2000","Nephele"
"655","Alloprevotella",NA,"Zymo.2000","Nephele"
"656","Anaerococcus",NA,"Zymo.2000","Nephele"
"657","Anaerofustis",NA,"Zymo.2000","Nephele"
"658","Anaeromyxobacter",NA,"Zymo.2000","Nephele"
"659","Anaerosporobacter",NA,"Zymo.2000","Nephele"
"660","Arthrobacter",NA,"Zymo.2000","Nephele"
"661","Atopobium",NA,"Zymo.2000","Nephele"
"662","Azospirillum",NA,"Zymo.2000","Nephele"
"663","Bergeyella",NA,"Zymo.2000","Nephele"
"664","Bradyrhizobium",NA,"Zymo.2000","Nephele"
"665","Brevundimonas",NA,"Zymo.2000","Nephele"
"666","Bryobacter",NA,"Zymo.2000","Nephele"
"667","Butyricimonas",NA,"Zymo.2000","Nephele"
"668","Campylobacter",NA,"Zymo.2000","Nephele"
"669","Candidatus Planktophila",NA,"Zymo.2000","Nephele"
"670","Capnocytophaga",NA,"Zymo.2000","Nephele"
"671","Christensenella",NA,"Zymo.2000","Nephele"
"672","Coprococcus",NA,"Zymo.2000","Nephele"
"673","Corynebacterium",NA,"Zymo.2000","Nephele"
"674","Desulfovibrio",NA,"Zymo.2000","Nephele"
"675","Devosia",NA,"Zymo.2000","Nephele"
"676","Dolosigranulum",NA,"Zymo.2000","Nephele"
"677","Eggerthella",NA,"Zymo.2000","Nephele"
"678","Eggerthia",NA,"Zymo.2000","Nephele"
"679","Enterorhabdus",NA,"Zymo.2000","Nephele"
"680","Finegoldia",NA,"Zymo.2000","Nephele"
"681","Gemella",NA,"Zymo.2000","Nephele"
"682","Granulicatella",NA,"Zymo.2000","Nephele"
"683","Haemophilus",NA,"Zymo.2000","Nephele"
"684","Incertae Sedis",NA,"Zymo.2000","Nephele"
"685","Lachnoanaerobaculum",NA,"Zymo.2000","Nephele"
"686","Lactococcus",NA,"Zymo.2000","Nephele"
"687","Lautropia",NA,"Zymo.2000","Nephele"
"688","Leptotrichia",NA,"Zymo.2000","Nephele"
"689","Leuconostoc",NA,"Zymo.2000","Nephele"
"690","Lysobacter",NA,"Zymo.2000","Nephele"
"691","Massilia",NA,"Zymo.2000","Nephele"
"692","Megasphaera",NA,"Zymo.2000","Nephele"
"693","Methylobacterium",NA,"Zymo.2000","Nephele"
"694","Mogibacterium",NA,"Zymo.2000","Nephele"
"695","Moraxella",NA,"Zymo.2000","Nephele"
"696","Mycobacterium",NA,"Zymo.2000","Nephele"
"697","Nevskia",NA,"Zymo.2000","Nephele"
"698","Nocardioides",NA,"Zymo.2000","Nephele"
"699","Nosocomiicoccus",NA,"Zymo.2000","Nephele"
"700","Oribacterium",NA,"Zymo.2000","Nephele"
"701","Oscillibacter",NA,"Zymo.2000","Nephele"
"702","Oscillospira",NA,"Zymo.2000","Nephele"
"703","Papillibacter",NA,"Zymo.2000","Nephele"
"704","Paracoccus",NA,"Zymo.2000","Nephele"
"705","Pedobacter",NA,"Zymo.2000","Nephele"
"706","Peptoniphilus",NA,"Zymo.2000","Nephele"
"707","Phenylobacterium",NA,"Zymo.2000","Nephele"
"708","Prevotella",NA,"Zymo.2000","Nephele"
"709","Pseudobutyrivibrio",NA,"Zymo.2000","Nephele"
"710","Rhizobium",NA,"Zymo.2000","Nephele"
"711","Rothia",NA,"Zymo.2000","Nephele"
"712","Rubellimicrobium",NA,"Zymo.2000","Nephele"
"713","Ruminococcus",NA,"Zymo.2000","Nephele"
"714","Salinarimonas",NA,"Zymo.2000","Nephele"
"715","Scardovia",NA,"Zymo.2000","Nephele"
"716","Sediminibacterium",NA,"Zymo.2000","Nephele"
"717","Solobacterium",NA,"Zymo.2000","Nephele"
"718","Sphingomonas",NA,"Zymo.2000","Nephele"
"719","Stomatobaculum",NA,"Zymo.2000","Nephele"
"720","Sutterella",NA,"Zymo.2000","Nephele"
"721","Synergistes",NA,"Zymo.2000","Nephele"
"722","Thalassospira",NA,"Zymo.2000","Nephele"
"723","Treponema",NA,"Zymo.2000","Nephele"
"724","Turicibacter",NA,"Zymo.2000","Nephele"
"725","uncultured",NA,"Zymo.2000","Nephele"
"726","Veillonella",NA,"Zymo.2000","Nephele"
"727","Weissella",NA,"Zymo.2000","Nephele"
"728","Basidiomycota",NA,"Zymo.2000","Nephele"
