"","Genus","value","Plate","Type","BINF","Expected"
"1265","Lachnospiraceae NK4A136 group",5.86e-05,"PC04925","Seq2000","Nephele",NA
"1266","Lachnospiraceae UCG-001",7.54e-05,"PC04925","Seq2000","Nephele",NA
"1267","Lachnospiraceae UCG-004",0,"PC04925","Seq2000","Nephele",NA
"1268","Lachnospiraceae UCG-008",0,"PC04925","Seq2000","Nephele",NA
"1269","Lactonifactor",0,"PC04925","Seq2000","Nephele",NA
"1270","Marvinbryantia",0,"PC04925","Seq2000","Nephele",NA
"1271","Odoribacter",0,"PC04925","Seq2000","Nephele",NA
"1272","Oryza sativa Indica Group (long-grained rice)",0,"PC04925","Seq2000","Nephele",NA
"1273","Other",0.001222647,"PC04925","Seq2000","Nephele",NA
"1274","Oxalobacter",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1275","Parasutterella",0,"PC04925","Seq2000","Nephele",NA
"1276","Phascolarctobacterium",3.35e-05,"PC04925","Seq2000","Nephele",NA
"1277","Porphyromonas",0,"PC04925","Seq2000","Nephele",NA
"1278","Raoultella",0.091815799,"PC04925","Seq2000","Nephele",NA
"1279","Roseburia",0.000200983,"PC04925","Seq2000","Nephele",NA
"1280","Ruminiclostridium",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1281","Ruminiclostridium 5",5.02e-05,"PC04925","Seq2000","Nephele",NA
"1282","Ruminiclostridium 9",0,"PC04925","Seq2000","Nephele",NA
"1283","Ruminococcaceae NK4A214 group",0.000125614,"PC04925","Seq2000","Nephele",NA
"1284","Ruminococcaceae UCG-002",0.000192609,"PC04925","Seq2000","Nephele",NA
"1285","Ruminococcaceae UCG-003",2.51e-05,"PC04925","Seq2000","Nephele",NA
"1286","Ruminococcaceae UCG-004",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1287","Ruminococcaceae UCG-005",2.51e-05,"PC04925","Seq2000","Nephele",NA
"1288","Ruminococcaceae UCG-013",3.35e-05,"PC04925","Seq2000","Nephele",NA
"1289","Ruminococcaceae UCG-014",5.86e-05,"PC04925","Seq2000","Nephele",NA
"1290","Ruminococcus 1",0.000159112,"PC04925","Seq2000","Nephele",NA
"1291","Ruminococcus 2",0.000251229,"PC04925","Seq2000","Nephele",NA
"1292","Sellimonas",0,"PC04925","Seq2000","Nephele",NA
"1293","Serratia",0.008231935,"PC04925","Seq2000","Nephele",NA
"1294","Succiniclasticum",0,"PC04925","Seq2000","Nephele",NA
"1295","Tyzzerella",1.67e-05,"PC04925","Seq2000","Nephele",NA
"1296","Tyzzerella 3",0,"PC04925","Seq2000","Nephele",NA
"1729","Acinetobacter",7.12e-06,"PC07578","Seq200","Nephele",NA
"1730","Actinomyces",0,"PC07578","Seq200","Nephele",NA
"1731","Alistipes",5.69e-05,"PC07578","Seq200","Nephele",NA
"1732","Anaerostipes",7.12e-06,"PC07578","Seq200","Nephele",NA
"1733","Bacteroides",0.000242008,"PC07578","Seq200","Nephele",NA
"1734","Bifidobacterium",0,"PC07578","Seq200","Nephele",NA
"1735","Bilophila",0,"PC07578","Seq200","Nephele",NA
"1736","Clostridium",NA,"PC07578","Seq200","Nephele",NA
"1737","Lachnoclostridium",2.14e-05,"PC07578","Seq200","Nephele",NA
"1738","Collinsella",0,"PC07578","Seq200","Nephele",NA
"1739","Coprobacillus",NA,"PC07578","Seq200","Nephele",NA
"1741","Deinococcus",0,"PC07578","Seq200","Nephele",NA
"1743","Fusobacterium",2.14e-05,"PC07578","Seq200","Nephele",NA
"1744","Helicobacter",0,"PC07578","Seq200","Nephele",NA
"1746","Neisseria",0,"PC07578","Seq200","Nephele",NA
"1747","Paenibacillus",0,"PC07578","Seq200","Nephele",NA
"1748","Parabacteroides",1.42e-05,"PC07578","Seq200","Nephele",NA
"1749","Pediococcus",7.12e-06,"PC07578","Seq200","Nephele",NA
"1750","Porphyromonadaceae",NA,"PC07578","Seq200","Nephele",NA
"1751","Propionibacterium",NA,"PC07578","Seq200","Nephele",NA
"1753","Pyramidobacter",0,"PC07578","Seq200","Nephele",NA
"1754","Ralstonia",0,"PC07578","Seq200","Nephele",NA
"1755","Rhodobacter",0,"PC07578","Seq200","Nephele",NA
"1758","Streptococcus",7.12e-06,"PC07578","Seq200","Nephele",NA
"1759","Subdoligranulum",7.12e-06,"PC07578","Seq200","Nephele",NA
"1760","[Clostridium] innocuum group",0,"PC07578","Seq200","Nephele",NA
"1761","[Eubacterium] coprostanoligenes group",0,"PC07578","Seq200","Nephele",NA
"1762","[Eubacterium] eligens group",0,"PC07578","Seq200","Nephele",NA
"1763","[Eubacterium] hallii group",1.42e-05,"PC07578","Seq200","Nephele",NA
"1764","[Eubacterium] rectale group",7.12e-06,"PC07578","Seq200","Nephele",NA
"1765","[Eubacterium] ventriosum group",0,"PC07578","Seq200","Nephele",NA
"1766","[Eubacterium] xylanophilum group",0,"PC07578","Seq200","Nephele",NA
"1767","[Ruminococcus] gauvreauii group",0,"PC07578","Seq200","Nephele",NA
"1768","[Ruminococcus] torques group",0,"PC07578","Seq200","Nephele",NA
"1769","Adlercreutzia",0,"PC07578","Seq200","Nephele",NA
"1770","Akkermansia",4.98e-05,"PC07578","Seq200","Nephele",NA
"1771","Ambiguous_taxa",2.85e-05,"PC07578","Seq200","Nephele",NA
"1772","Anaerofilum",0,"PC07578","Seq200","Nephele",NA
"1773","Anaerotruncus",7.12e-06,"PC07578","Seq200","Nephele",NA
"1774","Blautia",1.42e-05,"PC07578","Seq200","Nephele",NA
"1775","Butyricicoccus",0,"PC07578","Seq200","Nephele",NA
"1776","Candidatus Stoquefichus",7.12e-06,"PC07578","Seq200","Nephele",NA
"1777","Carnobacterium",0.000740261,"PC07578","Seq200","Nephele",NA
"1778","Christensenellaceae R-7 group",0,"PC07578","Seq200","Nephele",NA
"1779","Clostridium sensu stricto 1",7.12e-06,"PC07578","Seq200","Nephele",NA
"1780","Coprococcus 1",0,"PC07578","Seq200","Nephele",NA
"1781","Coprococcus 2",0,"PC07578","Seq200","Nephele",NA
"1782","Coprococcus 3",0,"PC07578","Seq200","Nephele",NA
"1783","Defluviitaleaceae UCG-011",0,"PC07578","Seq200","Nephele",NA
"1784","Dialister",0,"PC07578","Seq200","Nephele",NA
"1785","Dorea",0,"PC07578","Seq200","Nephele",NA
"1786","Eisenbergiella",0,"PC07578","Seq200","Nephele",NA
"1787","Enterobacter",0.003758248,"PC07578","Seq200","Nephele",NA
"1788","Erwinia",0.000448427,"PC07578","Seq200","Nephele",NA
"1789","Erysipelatoclostridium",7.12e-06,"PC07578","Seq200","Nephele",NA
"1790","Erysipelotrichaceae UCG-003",0,"PC07578","Seq200","Nephele",NA
"1791","Faecalibacterium",2.14e-05,"PC07578","Seq200","Nephele",NA
"1792","Family XIII AD3011 group",0,"PC07578","Seq200","Nephele",NA
"1793","Flavonifractor",0,"PC07578","Seq200","Nephele",NA
"1794","Fusicatenibacter",0,"PC07578","Seq200","Nephele",NA
"1795","Gordonibacter",0,"PC07578","Seq200","Nephele",NA
"1796","Gossypium arboreum",0,"PC07578","Seq200","Nephele",NA
"1797","Holdemania",0,"PC07578","Seq200","Nephele",NA
"1798","Hungatella",0,"PC07578","Seq200","Nephele",NA
"1799","Intestinibacter",0,"PC07578","Seq200","Nephele",NA
"1800","Intestinimonas",0,"PC07578","Seq200","Nephele",NA
"1801","Kluyvera",0.001658469,"PC07578","Seq200","Nephele",NA
"1802","Lachnospira",1.42e-05,"PC07578","Seq200","Nephele",NA
"1803","Lachnospiraceae FCS020 group",0,"PC07578","Seq200","Nephele",NA
"1804","Lachnospiraceae ND3007 group",0,"PC07578","Seq200","Nephele",NA
"1805","Lachnospiraceae NK4A136 group",7.12e-06,"PC07578","Seq200","Nephele",NA
"1806","Lachnospiraceae UCG-001",0,"PC07578","Seq200","Nephele",NA
"1807","Lachnospiraceae UCG-004",7.12e-06,"PC07578","Seq200","Nephele",NA
"1808","Lachnospiraceae UCG-008",0,"PC07578","Seq200","Nephele",NA
"1809","Lactonifactor",0,"PC07578","Seq200","Nephele",NA
"1810","Marvinbryantia",0,"PC07578","Seq200","Nephele",NA
"1811","Odoribacter",0,"PC07578","Seq200","Nephele",NA
"1812","Oryza sativa Indica Group (long-grained rice)",0,"PC07578","Seq200","Nephele",NA
"1813","Other",0.000875501,"PC07578","Seq200","Nephele",NA
"1814","Oxalobacter",7.12e-06,"PC07578","Seq200","Nephele",NA
"1815","Parasutterella",0,"PC07578","Seq200","Nephele",NA
"1816","Phascolarctobacterium",0,"PC07578","Seq200","Nephele",NA
"1817","Porphyromonas",0,"PC07578","Seq200","Nephele",NA
"1818","Raoultella",0.11232748,"PC07578","Seq200","Nephele",NA
"1819","Roseburia",1.42e-05,"PC07578","Seq200","Nephele",NA
"1820","Ruminiclostridium",0,"PC07578","Seq200","Nephele",NA
"1821","Ruminiclostridium 5",7.12e-06,"PC07578","Seq200","Nephele",NA
"1822","Ruminiclostridium 9",0,"PC07578","Seq200","Nephele",NA
"1823","Ruminococcaceae NK4A214 group",0,"PC07578","Seq200","Nephele",NA
"1824","Ruminococcaceae UCG-002",3.56e-05,"PC07578","Seq200","Nephele",NA
"1825","Ruminococcaceae UCG-003",0,"PC07578","Seq200","Nephele",NA
"1826","Ruminococcaceae UCG-004",0,"PC07578","Seq200","Nephele",NA
"1827","Ruminococcaceae UCG-005",7.12e-06,"PC07578","Seq200","Nephele",NA
"1828","Ruminococcaceae UCG-013",0,"PC07578","Seq200","Nephele",NA
"1829","Ruminococcaceae UCG-014",0,"PC07578","Seq200","Nephele",NA
"1830","Ruminococcus 1",0.000121004,"PC07578","Seq200","Nephele",NA
"1831","Ruminococcus 2",6.41e-05,"PC07578","Seq200","Nephele",NA
"1832","Sellimonas",0,"PC07578","Seq200","Nephele",NA
"1833","Serratia",0.009210554,"PC07578","Seq200","Nephele",NA
"1834","Succiniclasticum",0,"PC07578","Seq200","Nephele",NA
"1835","Tyzzerella",0,"PC07578","Seq200","Nephele",NA
"1836","Tyzzerella 3",7.12e-06,"PC07578","Seq200","Nephele",NA
"1837","Acinetobacter",0,"PC07578","Seq2000","Nephele",NA
"1838","Actinomyces",0,"PC07578","Seq2000","Nephele",NA
"1839","Alistipes",4.18e-05,"PC07578","Seq2000","Nephele",NA
"1840","Anaerostipes",0,"PC07578","Seq2000","Nephele",NA
"1841","Bacteroides",0.000104582,"PC07578","Seq2000","Nephele",NA
"1842","Bifidobacterium",0,"PC07578","Seq2000","Nephele",NA
"1843","Bilophila",0,"PC07578","Seq2000","Nephele",NA
"1844","Clostridium",NA,"PC07578","Seq2000","Nephele",NA
"1845","Lachnoclostridium",2.09e-05,"PC07578","Seq2000","Nephele",NA
"1846","Collinsella",0,"PC07578","Seq2000","Nephele",NA
"1847","Coprobacillus",NA,"PC07578","Seq2000","Nephele",NA
"1849","Deinococcus",0,"PC07578","Seq2000","Nephele",NA
"1851","Fusobacterium",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1852","Helicobacter",0,"PC07578","Seq2000","Nephele",NA
"1854","Neisseria",0,"PC07578","Seq2000","Nephele",NA
"1855","Paenibacillus",1.39e-05,"PC07578","Seq2000","Nephele",NA
"1856","Parabacteroides",1.39e-05,"PC07578","Seq2000","Nephele",NA
"1857","Pediococcus",1.39e-05,"PC07578","Seq2000","Nephele",NA
"1858","Porphyromonadaceae",NA,"PC07578","Seq2000","Nephele",NA
"1859","Propionibacterium",NA,"PC07578","Seq2000","Nephele",NA
"1861","Pyramidobacter",0,"PC07578","Seq2000","Nephele",NA
"1862","Ralstonia",0,"PC07578","Seq2000","Nephele",NA
"1863","Rhodobacter",0,"PC07578","Seq2000","Nephele",NA
"1866","Streptococcus",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1867","Subdoligranulum",0,"PC07578","Seq2000","Nephele",NA
"1868","[Clostridium] innocuum group",0,"PC07578","Seq2000","Nephele",NA
"1869","[Eubacterium] coprostanoligenes group",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1870","[Eubacterium] eligens group",0,"PC07578","Seq2000","Nephele",NA
"1871","[Eubacterium] hallii group",0,"PC07578","Seq2000","Nephele",NA
"1872","[Eubacterium] rectale group",2.09e-05,"PC07578","Seq2000","Nephele",NA
"1873","[Eubacterium] ventriosum group",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1874","[Eubacterium] xylanophilum group",0,"PC07578","Seq2000","Nephele",NA
"1875","[Ruminococcus] gauvreauii group",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1876","[Ruminococcus] torques group",0,"PC07578","Seq2000","Nephele",NA
"1877","Adlercreutzia",0,"PC07578","Seq2000","Nephele",NA
"1878","Akkermansia",4.88e-05,"PC07578","Seq2000","Nephele",NA
"1879","Ambiguous_taxa",4.18e-05,"PC07578","Seq2000","Nephele",NA
"1880","Anaerofilum",0,"PC07578","Seq2000","Nephele",NA
"1881","Anaerotruncus",0,"PC07578","Seq2000","Nephele",NA
"1882","Blautia",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1883","Butyricicoccus",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1884","Candidatus Stoquefichus",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1885","Carnobacterium",0.001080682,"PC07578","Seq2000","Nephele",NA
"1886","Christensenellaceae R-7 group",0,"PC07578","Seq2000","Nephele",NA
"1887","Clostridium sensu stricto 1",0,"PC07578","Seq2000","Nephele",NA
"1888","Coprococcus 1",0,"PC07578","Seq2000","Nephele",NA
"1889","Coprococcus 2",2.79e-05,"PC07578","Seq2000","Nephele",NA
"1890","Coprococcus 3",0,"PC07578","Seq2000","Nephele",NA
"1891","Defluviitaleaceae UCG-011",0,"PC07578","Seq2000","Nephele",NA
"1892","Dialister",0,"PC07578","Seq2000","Nephele",NA
"1893","Dorea",0,"PC07578","Seq2000","Nephele",NA
"1894","Eisenbergiella",0,"PC07578","Seq2000","Nephele",NA
"1895","Enterobacter",0.004036869,"PC07578","Seq2000","Nephele",NA
"1896","Erwinia",0.00058566,"PC07578","Seq2000","Nephele",NA
"1897","Erysipelatoclostridium",0,"PC07578","Seq2000","Nephele",NA
"1898","Erysipelotrichaceae UCG-003",0,"PC07578","Seq2000","Nephele",NA
"1899","Faecalibacterium",4.88e-05,"PC07578","Seq2000","Nephele",NA
"1900","Family XIII AD3011 group",0,"PC07578","Seq2000","Nephele",NA
"1901","Flavonifractor",0,"PC07578","Seq2000","Nephele",NA
"1902","Fusicatenibacter",0,"PC07578","Seq2000","Nephele",NA
"1903","Gordonibacter",0,"PC07578","Seq2000","Nephele",NA
"1904","Gossypium arboreum",0,"PC07578","Seq2000","Nephele",NA
"1905","Holdemania",0,"PC07578","Seq2000","Nephele",NA
"1906","Hungatella",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1907","Intestinibacter",0,"PC07578","Seq2000","Nephele",NA
"1908","Intestinimonas",0,"PC07578","Seq2000","Nephele",NA
"1909","Kluyvera",0.002328695,"PC07578","Seq2000","Nephele",NA
"1910","Lachnospira",0,"PC07578","Seq2000","Nephele",NA
"1911","Lachnospiraceae FCS020 group",0,"PC07578","Seq2000","Nephele",NA
"1912","Lachnospiraceae ND3007 group",0,"PC07578","Seq2000","Nephele",NA
"1913","Lachnospiraceae NK4A136 group",2.09e-05,"PC07578","Seq2000","Nephele",NA
"1914","Lachnospiraceae UCG-001",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1915","Lachnospiraceae UCG-004",0,"PC07578","Seq2000","Nephele",NA
"1916","Lachnospiraceae UCG-008",0,"PC07578","Seq2000","Nephele",NA
"1917","Lactonifactor",0,"PC07578","Seq2000","Nephele",NA
"1918","Marvinbryantia",0,"PC07578","Seq2000","Nephele",NA
"1919","Odoribacter",0,"PC07578","Seq2000","Nephele",NA
"1920","Oryza sativa Indica Group (long-grained rice)",0,"PC07578","Seq2000","Nephele",NA
"1921","Other",0.001485066,"PC07578","Seq2000","Nephele",NA
"1922","Oxalobacter",0,"PC07578","Seq2000","Nephele",NA
"1923","Parasutterella",0,"PC07578","Seq2000","Nephele",NA
"1924","Phascolarctobacterium",0,"PC07578","Seq2000","Nephele",NA
"1925","Porphyromonas",0,"PC07578","Seq2000","Nephele",NA
"1926","Raoultella",0.091237415,"PC07578","Seq2000","Nephele",NA
"1927","Roseburia",0,"PC07578","Seq2000","Nephele",NA
"1928","Ruminiclostridium",0,"PC07578","Seq2000","Nephele",NA
"1929","Ruminiclostridium 5",0,"PC07578","Seq2000","Nephele",NA
"1930","Ruminiclostridium 9",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1931","Ruminococcaceae NK4A214 group",1.39e-05,"PC07578","Seq2000","Nephele",NA
"1932","Ruminococcaceae UCG-002",2.79e-05,"PC07578","Seq2000","Nephele",NA
"1933","Ruminococcaceae UCG-003",0,"PC07578","Seq2000","Nephele",NA
"1934","Ruminococcaceae UCG-004",0,"PC07578","Seq2000","Nephele",NA
"1935","Ruminococcaceae UCG-005",1.39e-05,"PC07578","Seq2000","Nephele",NA
"1936","Ruminococcaceae UCG-013",0,"PC07578","Seq2000","Nephele",NA
"1937","Ruminococcaceae UCG-014",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1938","Ruminococcus 1",4.18e-05,"PC07578","Seq2000","Nephele",NA
"1939","Ruminococcus 2",6.97e-05,"PC07578","Seq2000","Nephele",NA
"1940","Sellimonas",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1941","Serratia",0.009105614,"PC07578","Seq2000","Nephele",NA
"1942","Succiniclasticum",6.97e-06,"PC07578","Seq2000","Nephele",NA
"1943","Tyzzerella",0,"PC07578","Seq2000","Nephele",NA
"1944","Tyzzerella 3",0,"PC07578","Seq2000","Nephele",NA
"2477","Acinetobacter",0,"PC04924","Seq200","QIIME2",NA
"2478","Actinomyces",0,"PC04924","Seq200","QIIME2",NA
"2479","Alistipes",0,"PC04924","Seq200","QIIME2",NA
"2480","Anaerostipes",0,"PC04924","Seq200","QIIME2",NA
"2481","Bacteroides",0,"PC04924","Seq200","QIIME2",NA
"2482","Bifidobacterium",0,"PC04924","Seq200","QIIME2",NA
"2483","Bilophila",0,"PC04924","Seq200","QIIME2",NA
"2484","Collinsella",0,"PC04924","Seq200","QIIME2",NA
"2485","Coprobacillus",0,"PC04924","Seq200","QIIME2",NA
"2486","Deinococcus",0,"PC04924","Seq200","QIIME2",NA
"2487","Fusobacterium",0,"PC04924","Seq200","QIIME2",NA
"2488","Helicobacter",0,"PC04924","Seq200","QIIME2",NA
"2489","Neisseria",0,"PC04924","Seq200","QIIME2",NA
"2490","Paenibacillus",0,"PC04924","Seq200","QIIME2",NA
"2491","Parabacteroides",0,"PC04924","Seq200","QIIME2",NA
"2492","Pediococcus",0,"PC04924","Seq200","QIIME2",NA
"2493","Propionibacterium",0,"PC04924","Seq200","QIIME2",NA
"2495","Pyramidobacter",0,"PC04924","Seq200","QIIME2",NA
"2496","Ralstonia",0,"PC04924","Seq200","QIIME2",NA
"2497","Streptococcus",0,"PC04924","Seq200","QIIME2",NA
"2498","Subdoligranulum",0,"PC04924","Seq200","QIIME2",NA
"2499","Abiotrophia",0,"PC04924","Seq200","QIIME2",NA
"2500","Acetanaerobacterium",0,"PC04924","Seq200","QIIME2",NA
"2501","Acidaminococcus",0,"PC04924","Seq200","QIIME2",NA
"2502","Actinobacillus",0,"PC04924","Seq200","QIIME2",NA
"2503","Adlercreutzia",0,"PC04924","Seq200","QIIME2",NA
"2504","Akkermansia",0,"PC04924","Seq200","QIIME2",NA
"2505","Alcaligenes",0,"PC04924","Seq200","QIIME2",NA
"2506","Alkanindiges",0,"PC04924","Seq200","QIIME2",NA
"2507","Alloprevotella",0,"PC04924","Seq200","QIIME2",NA
"2508","Anaerococcus",0,"PC04924","Seq200","QIIME2",NA
"2509","Anaerofilum",0,"PC04924","Seq200","QIIME2",NA
"2510","Anaerofustis",0,"PC04924","Seq200","QIIME2",NA
"2511","Anaeromyxobacter",0,"PC04924","Seq200","QIIME2",NA
"2512","Anaerosporobacter",0,"PC04924","Seq200","QIIME2",NA
"2513","Anaerotruncus",0,"PC04924","Seq200","QIIME2",NA
"2514","Arthrobacter",0,"PC04924","Seq200","QIIME2",NA
"2515","Atopobium",0,"PC04924","Seq200","QIIME2",NA
"2516","Azospirillum",0,"PC04924","Seq200","QIIME2",NA
"2517","Bergeyella",0,"PC04924","Seq200","QIIME2",NA
"2518","Blautia",0,"PC04924","Seq200","QIIME2",NA
"2519","Bradyrhizobium",0,"PC04924","Seq200","QIIME2",NA
"2520","Brevundimonas",0,"PC04924","Seq200","QIIME2",NA
"2521","Bryobacter",0,"PC04924","Seq200","QIIME2",NA
"2522","Butyricimonas",0,"PC04924","Seq200","QIIME2",NA
"2523","Campylobacter",0,"PC04924","Seq200","QIIME2",NA
"2524","Candidatus Planktophila",0,"PC04924","Seq200","QIIME2",NA
"2525","Capnocytophaga",0,"PC04924","Seq200","QIIME2",NA
"2526","Christensenella",0,"PC04924","Seq200","QIIME2",NA
"2527","Clostridium sensu stricto 1",0,"PC04924","Seq200","QIIME2",NA
"2528","Coprococcus",0,"PC04924","Seq200","QIIME2",NA
"2529","Corynebacterium",0,"PC04924","Seq200","QIIME2",NA
"2530","Desulfovibrio",0,"PC04924","Seq200","QIIME2",NA
"2531","Devosia",0,"PC04924","Seq200","QIIME2",NA
"2532","Dialister",0,"PC04924","Seq200","QIIME2",NA
"2533","Dolosigranulum",0,"PC04924","Seq200","QIIME2",NA
"2534","Dorea",0,"PC04924","Seq200","QIIME2",NA
"2535","Eggerthella",0,"PC04924","Seq200","QIIME2",NA
"2536","Eggerthia",0,"PC04924","Seq200","QIIME2",NA
"2537","Enterorhabdus",0,"PC04924","Seq200","QIIME2",NA
"2538","Faecalibacterium",0,"PC04924","Seq200","QIIME2",NA
"2539","Finegoldia",0,"PC04924","Seq200","QIIME2",NA
"2540","Flavonifractor",0,"PC04924","Seq200","QIIME2",NA
"2541","Gemella",0,"PC04924","Seq200","QIIME2",NA
"2542","Gordonibacter",0,"PC04924","Seq200","QIIME2",NA
"2543","Granulicatella",0,"PC04924","Seq200","QIIME2",NA
"2544","Haemophilus",0,"PC04924","Seq200","QIIME2",NA
"2545","Holdemania",0,"PC04924","Seq200","QIIME2",NA
"2546","Incertae Sedis",0,"PC04924","Seq200","QIIME2",NA
"2547","Intestinimonas",0,"PC04924","Seq200","QIIME2",NA
"2548","Lachnoanaerobaculum",0,"PC04924","Seq200","QIIME2",NA
"2549","Lachnospira",0,"PC04924","Seq200","QIIME2",NA
"2550","Lactococcus",0,"PC04924","Seq200","QIIME2",NA
"2551","Lautropia",0,"PC04924","Seq200","QIIME2",NA
"2552","Leptotrichia",0,"PC04924","Seq200","QIIME2",NA
"2553","Leuconostoc",0,"PC04924","Seq200","QIIME2",NA
"2554","Lysobacter",0,"PC04924","Seq200","QIIME2",NA
"2555","Marvinbryantia",0,"PC04924","Seq200","QIIME2",NA
"2556","Massilia",0,"PC04924","Seq200","QIIME2",NA
"2557","Megasphaera",0,"PC04924","Seq200","QIIME2",NA
"2558","Methylobacterium",0,"PC04924","Seq200","QIIME2",NA
"2559","Mogibacterium",0,"PC04924","Seq200","QIIME2",NA
"2560","Moraxella",0,"PC04924","Seq200","QIIME2",NA
"2561","Mycobacterium",0,"PC04924","Seq200","QIIME2",NA
"2562","Nevskia",0,"PC04924","Seq200","QIIME2",NA
"2563","Nocardioides",0,"PC04924","Seq200","QIIME2",NA
"2564","Nosocomiicoccus",0,"PC04924","Seq200","QIIME2",NA
"2565","Odoribacter",0,"PC04924","Seq200","QIIME2",NA
"2566","Oribacterium",0,"PC04924","Seq200","QIIME2",NA
"2567","Oscillibacter",0,"PC04924","Seq200","QIIME2",NA
"2568","Oscillospira",0,"PC04924","Seq200","QIIME2",NA
"2569","Papillibacter",0,"PC04924","Seq200","QIIME2",NA
"2570","Paracoccus",0,"PC04924","Seq200","QIIME2",NA
"2571","Parasutterella",0,"PC04924","Seq200","QIIME2",NA
"2572","Pedobacter",0,"PC04924","Seq200","QIIME2",NA
"2573","Peptoniphilus",0,"PC04924","Seq200","QIIME2",NA
"2574","Phascolarctobacterium",0,"PC04924","Seq200","QIIME2",NA
"2575","Phenylobacterium",0,"PC04924","Seq200","QIIME2",NA
"2576","Porphyromonas",0,"PC04924","Seq200","QIIME2",NA
"2577","Prevotella",0,"PC04924","Seq200","QIIME2",NA
"2578","Pseudobutyrivibrio",0,"PC04924","Seq200","QIIME2",NA
"2579","Rhizobium",0,"PC04924","Seq200","QIIME2",NA
"2580","Roseburia",0,"PC04924","Seq200","QIIME2",NA
"2581","Rothia",0,"PC04924","Seq200","QIIME2",NA
"2582","Rubellimicrobium",0,"PC04924","Seq200","QIIME2",NA
"2583","Ruminococcus",0,"PC04924","Seq200","QIIME2",NA
"2584","Salinarimonas",0,"PC04924","Seq200","QIIME2",NA
"2585","Scardovia",0,"PC04924","Seq200","QIIME2",NA
"2586","Sediminibacterium",0,"PC04924","Seq200","QIIME2",NA
"2587","Solobacterium",0,"PC04924","Seq200","QIIME2",NA
"2588","Sphingomonas",0,"PC04924","Seq200","QIIME2",NA
"2589","Stomatobaculum",0,"PC04924","Seq200","QIIME2",NA
"2590","Succiniclasticum",0,"PC04924","Seq200","QIIME2",NA
"2591","Sutterella",0,"PC04924","Seq200","QIIME2",NA
"2592","Synergistes",0,"PC04924","Seq200","QIIME2",NA
"2593","Thalassospira",0,"PC04924","Seq200","QIIME2",NA
"2594","Treponema",0,"PC04924","Seq200","QIIME2",NA
"2595","Turicibacter",0,"PC04924","Seq200","QIIME2",NA
"2596","uncultured",0,"PC04924","Seq200","QIIME2",NA
"2597","Veillonella",0,"PC04924","Seq200","QIIME2",NA
"2598","Weissella",0,"PC04924","Seq200","QIIME2",NA
"2599","Acinetobacter",0,"PC04925","Seq200","QIIME2",NA
"2600","Actinomyces",0,"PC04925","Seq200","QIIME2",NA
"2601","Alistipes",0,"PC04925","Seq200","QIIME2",NA
"2602","Anaerostipes",0,"PC04925","Seq200","QIIME2",NA
"2603","Bacteroides",0,"PC04925","Seq200","QIIME2",NA
"2604","Bifidobacterium",0,"PC04925","Seq200","QIIME2",NA
"2605","Bilophila",0,"PC04925","Seq200","QIIME2",NA
"2606","Collinsella",0,"PC04925","Seq200","QIIME2",NA
"2607","Coprobacillus",0,"PC04925","Seq200","QIIME2",NA
"2608","Deinococcus",0,"PC04925","Seq200","QIIME2",NA
"2609","Fusobacterium",0,"PC04925","Seq200","QIIME2",NA
"2610","Acinetobacter",0,"PC04924","Seq2000","QIIME2",NA
"2611","Actinomyces",0,"PC04924","Seq2000","QIIME2",NA
"2612","Alistipes",0,"PC04924","Seq2000","QIIME2",NA
"2613","Anaerostipes",0,"PC04924","Seq2000","QIIME2",NA
"2614","Bacteroides",0,"PC04924","Seq2000","QIIME2",NA
"2615","Bifidobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2616","Bilophila",0,"PC04924","Seq2000","QIIME2",NA
"2617","Clostridium",NA,"PC04924","Seq2000","QIIME2",NA
"2618","Lachnoclostridium",NA,"PC04924","Seq2000","QIIME2",NA
"2619","Collinsella",0,"PC04924","Seq2000","QIIME2",NA
"2620","Coprobacillus",0,"PC04924","Seq2000","QIIME2",NA
"2622","Deinococcus",0,"PC04924","Seq2000","QIIME2",NA
"2624","Fusobacterium",0,"PC04924","Seq2000","QIIME2",NA
"2625","Helicobacter",0,"PC04924","Seq2000","QIIME2",NA
"2627","Neisseria",0,"PC04924","Seq2000","QIIME2",NA
"2628","Paenibacillus",0,"PC04924","Seq2000","QIIME2",NA
"2629","Parabacteroides",0,"PC04924","Seq2000","QIIME2",NA
"2630","Pediococcus",0,"PC04924","Seq2000","QIIME2",NA
